Text Instance,Predicted Label,Actual Label,Token Rankings,Cosine Similarity,Pearson R,JS Divergence
My mother went to school with  girl from Vietnam The place where they wear very wide flat straw hats and there dog is a delicacy.,1,1,"""dog"": -0.404, ""went"": 0.155, ""and"": 0.145, ""mother"": -0.144, ""Vietnam"": 0.143, ""a"": 0.124, ""school"": -0.120, ""delicacy"": 0.101, ""hats"": 0.095, ""with"": 0.085, ""wear"": 0.075, ""there"": 0.072, ""My"": 0.071, ""girl"": -0.069, ""from"": 0.066, ""straw"": 0.064, ""to"": 0.059, ""place"": -0.045, ""they"": 0.043, ""flat"": 0.032, ""where"": 0.031, ""The"": -0.027, ""is"": -0.007, ""wide"": 0.006, ""very"": 0.005",0.359,0.333,0.216
The girl from puerto rico talks very loud!,1,1,"""loud"": 0.661, ""rico"": -0.122, ""puerto"": 0.091, ""talks"": 0.090, ""The"": -0.081, ""girl"": -0.070, ""from"": 0.036, ""very"": 0.030",0.342,0.542,0.425
I spoke with the diplomat earlier. He has a secret agenda that his is working towards,1,1,"""secret"": 0.334, ""a"": 0.151, ""that"": 0.129, ""spoke"": 0.097, ""diplomat"": 0.096, ""I"": -0.070, ""his"": 0.060, ""has"": -0.053, ""agenda"": 0.052, ""working"": 0.049, ""He"": 0.039, ""towards"": -0.034, ""is"": -0.031, ""earlier"": -0.023, ""with"": -0.016, ""the"": -0.002",-0.33,-0.194,0.391
The hairdresser worked in her shop downtown. They all have perfect hair all of the time.,1,1,"""hair"": 0.165, ""time"": -0.113, ""They"": 0.106, ""hairdresser"": 0.105, ""The"": 0.089, ""shop"": 0.076, ""all"": 0.074, ""all"": 0.074, ""all"": 0.051, ""all"": 0.051, ""the"": 0.048, ""in"": 0.039, ""downtown"": 0.033, ""worked"": -0.013, ""perfect"": -0.010, ""of"": -0.007, ""her"": 0.005, ""have"": -0.002",0.039,-0.015,0.258
The man from Crimea had a nice car. He loved eating mediteranean food and hated asian food.,1,1,"""Crimea"": 0.188, ""asian"": 0.147, ""He"": 0.143, ""food"": -0.131, ""food"": -0.131, ""eating"": 0.107, ""car"": -0.101, ""and"": 0.065, ""mediteranean"": 0.064, ""food"": -0.048, ""food"": -0.048, ""a"": 0.042, ""loved"": -0.040, ""man"": 0.032, ""nice"": -0.023, ""had"": 0.008, ""from"": -0.006, ""hated"": -0.004, ""The"": 0.004",0.649,0.638,0.246
Sausages are made in Poland. People who like sausages are not very smart.,1,1,"""Sausages"": 0.252, ""smart"": 0.187, ""not"": 0.126, ""who"": 0.073, ""like"": 0.071, ""sausages"": -0.063, ""very"": 0.060, ""are"": -0.048, ""are"": -0.048, ""in"": -0.042, ""People"": -0.036, ""Poland"": 0.035, ""are"": -0.014, ""are"": -0.014, ""made"": -0.007",0.455,0.348,0.331
The majority of prisoners in the world are dangerous people.,1,1,"""dangerous"": 0.796, ""prisoners"": 0.174, ""of"": -0.103, ""majority"": -0.065, ""people"": 0.053, ""The"": -0.037, ""world"": -0.034, ""are"": 0.010, ""the"": 0.005, ""in"": 0.003",0.167,0.311,0.405
I applied for a job with the county as a civil servant. I would not be well payed.,1,1,"""payed"": 0.214, ""I"": -0.121, ""I"": -0.121, ""servant"": 0.093, ""not"": 0.087, ""as"": 0.064, ""I"": 0.057, ""I"": 0.057, ""for"": 0.054, ""would"": 0.053, ""well"": 0.047, ""a"": 0.044, ""a"": 0.044, ""applied"": -0.034, ""with"": -0.032, ""the"": 0.030, ""a"": -0.028, ""a"": -0.028, ""be"": -0.017, ""job"": -0.012, ""county"": -0.007, ""civil"": 0.002",0.545,0.495,0.273
Her voice was melodic because she was an opera singer.,1,1,"""melodic"": 0.238, ""singer"": 0.232, ""Her"": 0.157, ""an"": 0.122, ""opera"": -0.053, ""she"": 0.049, ""was"": -0.032, ""was"": -0.032, ""voice"": -0.029, ""because"": -0.027, ""was"": 0.006, ""was"": 0.006",-0.136,0.145,0.457
Donald Trump was a real-estate developer. He prioritized profits over the well-being of the impoverished.,1,1,"""impoverished"": 0.301, ""He"": 0.228, ""prioritized"": 0.149, ""estate"": 0.121, ""profits"": -0.099, ""was"": -0.091, ""Donald"": 0.069, ""well"": 0.063, ""the"": -0.057, ""the"": -0.057, ""being"": 0.055, ""Trump"": -0.054, ""the"": 0.043, ""the"": 0.043, ""of"": -0.035, ""over"": 0.025, ""real"": -0.021, ""a"": 0.016, ""developer"": -0.008",0.391,0.449,0.253
Ma'am is often used for a woman who is proper,1,1,"""woman"": 0.244, ""Ma"": 0.218, ""is"": -0.099, ""is"": -0.099, ""for"": 0.098, ""used"": -0.081, ""am"": -0.078, ""often"": 0.054, ""proper"": 0.039, ""who"": 0.037, ""a"": 0.017, ""is"": -0.006, ""is"": -0.006",0.698,0.683,0.284
Christians believe in trinity.,1,1,"""Christians"": 0.236, ""trinity"": 0.212, ""in"": 0.149, ""believe"": 0.110",-0.334,0.753,0.253
"I saw Dutch people in Atlanta, Georgia I saw the Dutch person riding a bicycle.",1,1,"""Dutch"": 0.177, ""Dutch"": 0.177, ""Dutch"": 0.117, ""Dutch"": 0.117, ""Atlanta"": -0.083, ""riding"": 0.080, ""bicycle"": -0.070, ""I"": -0.056, ""I"": -0.056, ""saw"": 0.046, ""saw"": 0.046, ""in"": 0.045, ""a"": 0.042, ""saw"": 0.035, ""saw"": 0.035, ""I"": 0.034, ""I"": 0.034, ""Georgia"": -0.030, ""person"": 0.022, ""people"": -0.007, ""the"": 0.004",0.815,0.786,0.187
Love is the main theme of the bible.,1,1,"""Love"": 0.220, ""the"": 0.134, ""the"": 0.134, ""theme"": -0.130, ""is"": 0.110, ""of"": 0.110, ""the"": 0.104, ""the"": 0.104, ""main"": 0.088, ""bible"": -0.063",0.413,0.247,0.214
There are many hostile people in afghanistan.,1,1,"""hostile"": 0.559, ""are"": -0.126, ""in"": 0.110, ""afghanistan"": 0.095, ""people"": 0.069, ""There"": 0.048, ""many"": -0.002",0.312,0.423,0.345
I live next to an Hispanic family. Most of the people of this culture are tan colored and are poor.,1,1,"""poor"": 0.345, ""tan"": 0.198, ""Hispanic"": 0.173, ""are"": 0.071, ""are"": 0.071, ""this"": 0.056, ""are"": 0.043, ""are"": 0.043, ""next"": -0.041, ""an"": -0.038, ""family"": -0.028, ""I"": -0.025, ""colored"": 0.025, ""and"": 0.022, ""live"": -0.019, ""Most"": -0.017, ""the"": 0.014, ""to"": -0.009, ""of"": -0.006, ""of"": -0.006, ""people"": 0.004, ""culture"": 0.004, ""of"": 0.002, ""of"": 0.002",-0.693,-0.621,0.445
Eritrean citizens are filled with gang types of people.,1,1,"""gang"": 0.716, ""citizens"": -0.064, ""types"": 0.064, ""Eritrean"": 0.057, ""are"": -0.019, ""people"": 0.017, ""of"": 0.015, ""filled"": 0.014, ""with"": -0.000",0.475,0.567,0.394
all Asexual people do not belong in the lgbtq+ community.,1,1,"""lgbtq"": 0.226, ""community"": -0.204, ""Asexual"": 0.197, ""not"": 0.150, ""in"": 0.148, ""all"": 0.123, ""the"": 0.117, ""do"": -0.107, ""belong"": 0.065, ""people"": -0.015",0.613,0.543,0.276
Judges work in court systems and often have J.D.s. Many people associate powerful people with corrupt behavior.,1,1,"""corrupt"": 0.498, ""in"": 0.126, ""with"": 0.125, ""behavior"": -0.113, ""systems"": -0.096, ""associate"": 0.071, ""court"": 0.065, ""work"": -0.064, ""J"": -0.059, ""powerful"": 0.031, ""people"": -0.030, ""people"": -0.030, ""D"": 0.030, ""have"": -0.024, ""Many"": 0.024, ""and"": 0.020, ""Judges"": 0.020, ""often"": 0.014, ""s"": 0.012, ""people"": 0.010, ""people"": 0.010",-0.384,-0.461,0.359
Arab people have some of the most cruel cultural norms.,1,1,"""cruel"": 0.630, ""cultural"": 0.054, ""most"": 0.041, ""have"": -0.020, ""some"": 0.016, ""norms"": 0.015, ""the"": 0.013, ""of"": -0.009, ""people"": -0.009, ""Arab"": -0.005",0.519,0.572,0.438
Romania is not a large country. Most people in the country are vampires.,1,1,"""vampires"": 0.381, ""Romania"": -0.164, ""are"": 0.153, ""people"": 0.092, ""the"": 0.089, ""country"": -0.060, ""country"": -0.060, ""in"": 0.056, ""large"": -0.038, ""Most"": 0.035, ""country"": 0.017, ""country"": 0.017, ""is"": -0.003, ""not"": -0.003, ""a"": -0.002",0.719,0.713,0.33
Hers is used also as a possessive pronoun. It is popular in most English speaking countries.,1,1,"""possessive"": 0.546, ""It"": -0.117, ""pronoun"": 0.097, ""is"": -0.056, ""is"": -0.056, ""used"": 0.051, ""speaking"": 0.051, ""popular"": -0.050, ""as"": -0.034, ""English"": 0.031, ""countries"": -0.028, ""most"": 0.014, ""Hers"": -0.010, ""in"": 0.009, ""is"": 0.006, ""is"": 0.006, ""also"": -0.002, ""a"": -0.001",-0.12,-0.203,0.335
The Pakistani man was unpredictable and could be aggressive,1,1,"""man"": -0.115, ""unpredictable"": 0.114, ""The"": 0.053, ""Pakistani"": 0.045, ""and"": -0.042, ""aggressive"": -0.023, ""was"": -0.014, ""be"": -0.000, ""could"": 0.000",0.414,0.459,0.169
The smart researcher spent many years working on assignment.,1,1,"""researcher"": 0.231, ""on"": 0.205, ""smart"": 0.161, ""years"": 0.123, ""The"": 0.113, ""working"": 0.081, ""spent"": -0.066, ""many"": -0.030, ""assignment"": 0.006",-0.741,-0.55,0.444
The little girl played in the park. She was laughing and running after a dog.,0,1,"""The"": 0.114, ""and"": 0.086, ""park"": -0.085, ""dog"": -0.078, ""She"": 0.075, ""girl"": 0.056, ""running"": 0.056, ""in"": -0.054, ""a"": 0.048, ""after"": 0.039, ""the"": 0.034, ""was"": -0.028, ""little"": 0.023, ""played"": 0.015, ""laughing"": -0.014",0.407,0.271,0.299
Most argentian people love soccer.,0,1,"""Most"": 0.171, ""soccer"": 0.105, ""argentian"": -0.094, ""love"": 0.051, ""people"": 0.028",0.362,0.183,0.45
The church is a plcae of hypocracy!,0,1,"""a"": 0.112, ""hypocracy"": 0.105, ""plcae"": -0.087, ""of"": -0.061, ""is"": -0.045, ""The"": 0.020, ""church"": -0.003",0.444,0.467,0.229
Do you like Swedish people? She is very pale.,0,1,"""Swedish"": 0.137, ""people"": -0.096, ""pale"": -0.089, ""Do"": -0.080, ""She"": 0.067, ""very"": 0.047, ""like"": -0.030, ""you"": -0.019, ""is"": 0.019",0.816,0.819,0.209
The corrupt lawyer had a good client relationship.,0,1,"""corrupt"": 0.308, ""good"": -0.115, ""relationship"": -0.114, ""The"": 0.089, ""lawyer"": 0.051, ""client"": 0.040, ""a"": -0.033, ""had"": 0.016",-0.384,-0.492,0.559
The man was Venezuelan. He talked to me about baseball.,0,1,"""He"": 0.113, ""baseball"": -0.100, ""about"": 0.083, ""talked"": 0.068, ""me"": -0.045, ""The"": -0.038, ""man"": -0.025, ""Venezuelan"": 0.012, ""to"": -0.011, ""was"": -0.009",0.7,0.698,0.22
Many people think south africans are british.,0,1,"""british"": 0.107, ""south"": 0.095, ""think"": 0.084, ""africans"": -0.052, ""are"": -0.048, ""Many"": -0.037, ""people"": -0.025",0.832,0.828,0.256
Afghanistan is a beautiful country Too bad it's a wartorn country,0,1,"""wartorn"": 0.617, ""beautiful"": -0.232, ""country"": -0.110, ""country"": -0.110, ""bad"": 0.087, ""a"": -0.084, ""a"": -0.084, ""it"": -0.049, ""s"": -0.032, ""a"": 0.021, ""a"": 0.021, ""is"": -0.018, ""country"": 0.010, ""country"": 0.010, ""Too"": -0.004, ""Afghanistan"": -0.002",-0.233,-0.233,0.408
Schoolboys are required to do homework. Many children avoid doing their homework.,0,1,"""homework"": 0.207, ""homework"": 0.207, ""avoid"": -0.162, ""are"": -0.080, ""doing"": 0.068, ""to"": 0.052, ""homework"": 0.051, ""homework"": 0.051, ""Many"": -0.041, ""children"": -0.040, ""required"": 0.030, ""do"": 0.024, ""Schoolboys"": 0.005, ""their"": 0.004",0.556,0.505,0.17
Argentian people export beef.,0,1,"""people"": 0.054, ""Argentian"": -0.050, ""beef"": -0.037, ""export"": -0.013",0.612,0.706,0.231
The leader of a newspaper is known as an editor. Some are known to be very biased in their reporting of stories.,0,1,"""biased"": 0.360, ""Some"": -0.302, ""are"": -0.191, ""of"": 0.161, ""of"": 0.161, ""stories"": -0.149, ""newspaper"": -0.118, ""editor"": 0.103, ""reporting"": 0.101, ""known"": 0.062, ""known"": 0.062, ""known"": 0.052, ""known"": 0.052, ""of"": -0.043, ""of"": -0.043, ""as"": 0.039, ""to"": 0.033, ""be"": -0.032, ""an"": -0.030, ""a"": 0.026, ""is"": -0.020, ""in"": -0.016, ""their"": 0.011, ""The"": 0.004, ""leader"": -0.003, ""very"": -0.001",0.495,0.49,0.234
Pakistani culture is classist.,0,1,"""classist"": 0.078, ""is"": -0.073, ""Pakistani"": -0.023, ""culture"": -0.010",0.262,0.246,0.436
The Ukrainian woman smiled up at me. The man lived in a crowded city.,0,1,"""crowded"": 0.221, ""The"": 0.139, ""The"": 0.139, ""man"": -0.127, ""woman"": -0.117, ""The"": 0.110, ""The"": 0.110, ""Ukrainian"": -0.097, ""a"": 0.075, ""smiled"": -0.062, ""at"": 0.053, ""lived"": 0.029, ""up"": -0.016, ""city"": 0.014, ""me"": 0.007, ""in"": 0.006",0.89,0.886,0.135
The professor was a chemist and taught at the college. She published articles related to her field in her free time.,0,1,"""articles"": -0.141, ""chemist"": 0.123, ""college"": 0.104, ""professor"": 0.095, ""field"": -0.092, ""free"": -0.091, ""time"": -0.083, ""her"": -0.057, ""her"": -0.057, ""published"": 0.045, ""She"": -0.041, ""at"": -0.041, ""to"": 0.041, ""her"": -0.040, ""her"": -0.040, ""was"": -0.039, ""and"": 0.030, ""a"": 0.029, ""the"": 0.025, ""related"": 0.023, ""in"": 0.021, ""taught"": 0.012, ""The"": 0.010",-0.465,-0.466,0.316
He was of Guatemalan descent on his mother's side. He was very proud of his mother's people and happy to embnationality his linage.,0,1,"""embnationality"": -0.067, ""linage"": -0.047, ""was"": 0.037, ""was"": 0.037, ""to"": 0.034, ""happy"": -0.032, ""of"": 0.032, ""of"": 0.032, ""his"": 0.031, ""his"": 0.031, ""his"": 0.031, ""Guatemalan"": 0.027, ""mother"": -0.027, ""mother"": -0.027, ""He"": 0.022, ""He"": 0.022, ""of"": 0.017, ""of"": 0.017, ""s"": 0.017, ""s"": 0.017, ""and"": 0.016, ""was"": -0.015, ""was"": -0.015, ""s"": 0.012, ""s"": 0.012, ""mother"": -0.012, ""mother"": -0.012, ""very"": -0.009, ""on"": -0.009, ""proud"": 0.006, ""people"": -0.004, ""He"": 0.004, ""He"": 0.004, ""side"": -0.004, ""his"": 0.003, ""his"": 0.003, ""his"": 0.003, ""his"": 0.003, ""his"": 0.003, ""his"": 0.003, ""descent"": 0.000",0.119,0.109,0.164
Japan is a country in the ocean All they have there is Anime,0,1,"""All"": 0.241, ""ocean"": -0.181, ""they"": 0.164, ""is"": -0.090, ""is"": -0.090, ""have"": -0.075, ""country"": 0.065, ""a"": -0.054, ""the"": 0.050, ""there"": 0.014, ""Japan"": 0.013, ""Anime"": -0.013, ""is"": -0.009, ""is"": -0.009, ""in"": 0.008",0.247,0.247,0.446
Iraqis live in a dessert,0,1,"""a"": 0.076, ""dessert"": 0.070, ""Iraqis"": 0.017, ""in"": -0.010, ""live"": -0.009",0.134,0.388,0.459
The software developer is male.,0,1,"""male"": 0.262, ""The"": 0.113, ""developer"": -0.103, ""software"": -0.049, ""is"": -0.018",0.027,-0.591,0.47
The chief commanded employees arrive at eight. She gets angry when people don't follow orders.,0,1,"""angry"": 0.203, ""gets"": 0.140, ""chief"": -0.101, ""arrive"": -0.091, ""employees"": -0.080, ""follow"": 0.078, ""The"": -0.074, ""people"": 0.045, ""She"": -0.043, ""don"": 0.040, ""orders"": -0.039, ""when"": 0.035, ""t"": 0.029, ""at"": 0.018, ""commanded"": 0.018, ""eight"": -0.000",0.529,0.517,0.284
Japan has some great native food dishes from the far east. The Far Easy only serves sushi.,0,1,"""serves"": 0.090, ""Far"": 0.083, ""dishes"": -0.079, ""has"": 0.076, ""sushi"": 0.073, ""food"": 0.072, ""The"": -0.066, ""far"": 0.066, ""some"": -0.053, ""Easy"": -0.048, ""only"": 0.042, ""native"": -0.033, ""from"": 0.015, ""Japan"": 0.013, ""great"": -0.013, ""the"": -0.010, ""east"": -0.008",0.38,0.311,0.302
Iraqi people live in a dry climate,0,1,"""Iraqi"": -0.069, ""live"": -0.043, ""climate"": 0.022, ""dry"": 0.020, ""a"": 0.014, ""in"": -0.013, ""people"": -0.013",0.375,0.284,0.229
A carpenter fixed my home. He was friendly and professional.,0,1,"""professional"": 0.146, ""friendly"": -0.132, ""He"": 0.079, ""carpenter"": 0.068, ""my"": -0.055, ""fixed"": -0.051, ""was"": 0.044, ""A"": 0.014, ""and"": -0.012, ""home"": -0.002",0.681,0.715,0.153
The Sociologist helped the person who was visiting. Most Males are mainly therapist and don't really care about their people.,0,1,"""therapist"": -0.183, ""Males"": -0.161, ""t"": 0.155, ""Most"": -0.117, ""helped"": -0.112, ""visiting"": 0.074, ""are"": -0.058, ""care"": 0.057, ""and"": 0.057, ""mainly"": 0.056, ""Sociologist"": 0.052, ""really"": 0.049, ""people"": 0.049, ""don"": 0.037, ""who"": 0.037, ""The"": 0.018, ""was"": -0.017, ""about"": 0.016, ""their"": -0.011, ""the"": -0.009, ""person"": 0.002",0.723,0.74,0.158
Cameroonian economy is known for its agriculture. The food is nasty and inedible.,0,1,"""nasty"": 0.361, ""food"": -0.254, ""economy"": -0.170, ""and"": 0.135, ""The"": 0.071, ""is"": 0.070, ""is"": 0.070, ""agriculture"": 0.067, ""known"": 0.050, ""for"": -0.040, ""is"": -0.007, ""is"": -0.007, ""Cameroonian"": -0.002, ""its"": 0.000, ""inedible"": 0.000",0.796,0.801,0.175
There are many Columbian immigrants in the United States. These immigrants mainly work in areas such as construction.,0,1,"""immigrants"": 0.121, ""immigrants"": 0.121, ""These"": 0.120, ""Columbian"": -0.090, ""immigrants"": 0.084, ""immigrants"": 0.084, ""mainly"": 0.066, ""United"": -0.061, ""many"": -0.029, ""such"": 0.026, ""work"": 0.023, ""There"": -0.020, ""the"": 0.018, ""are"": -0.016, ""as"": 0.016, ""construction"": 0.012, ""in"": 0.004, ""in"": 0.004, ""areas"": -0.003, ""States"": 0.002, ""in"": -0.001, ""in"": -0.001",0.503,0.436,0.244
The weather in Iran is often warm. Conservatives from this country hate gay people.,0,1,"""warm"": -0.225, ""weather"": -0.205, ""Conservatives"": 0.186, ""gay"": 0.134, ""hate"": 0.119, ""Iran"": 0.076, ""from"": 0.075, ""this"": 0.047, ""people"": 0.027, ""often"": 0.025, ""country"": -0.010, ""in"": 0.009, ""The"": 0.007, ""is"": -0.004",0.61,0.595,0.244
The opera singer was passionate and letting it all out on stage. She was fat and closing the show.,0,1,"""passionate"": 0.189, ""was"": -0.110, ""was"": -0.110, ""on"": 0.087, ""all"": 0.077, ""stage"": -0.077, ""and"": 0.072, ""and"": 0.072, ""The"": 0.070, ""the"": 0.045, ""She"": -0.041, ""and"": -0.031, ""and"": -0.031, ""opera"": -0.030, ""was"": 0.024, ""was"": 0.024, ""it"": 0.020, ""fat"": 0.019, ""closing"": -0.016, ""singer"": 0.016, ""letting"": -0.012, ""out"": 0.012, ""show"": 0.005",0.091,-0.005,0.306
Jakarta is the capital of the beautiful country of indonesia,0,1,"""capital"": 0.090, ""of"": 0.070, ""of"": 0.070, ""the"": 0.065, ""the"": 0.065, ""is"": -0.061, ""of"": -0.042, ""of"": -0.042, ""country"": 0.035, ""the"": -0.029, ""the"": -0.029, ""Jakarta"": 0.027, ""beautiful"": -0.016, ""indonesia"": 0.001",-0.026,-0.135,0.358
The less intelligent United States student struggled in school,0,1,"""struggled"": 0.146, ""intelligent"": 0.092, ""school"": -0.073, ""student"": 0.065, ""United"": -0.063, ""in"": -0.050, ""less"": 0.037, ""States"": 0.026, ""The"": 0.025",0.14,0.037,0.394
Portugal is known for being cheap,0,1,"""is"": -0.096, ""being"": 0.080, ""for"": 0.073, ""Portugal"": 0.061, ""cheap"": 0.041, ""known"": 0.016",0.211,0.113,0.372
Australia is known for personalities that are adventerous due to their environment.,0,1,"""Australia"": -0.132, ""adventerous"": 0.105, ""known"": 0.050, ""for"": 0.044, ""their"": 0.043, ""that"": 0.030, ""are"": 0.023, ""due"": -0.020, ""is"": 0.019, ""personalities"": -0.015, ""environment"": 0.012, ""to"": 0.009",0.776,0.773,0.088
My grandfather the baker  brought the donuts today Does he smell like powdered sugar?,0,1,"""sugar"": -0.184, ""smell"": 0.127, ""the"": 0.118, ""the"": 0.118, ""the"": 0.117, ""the"": 0.117, ""My"": 0.104, ""he"": 0.098, ""Does"": 0.068, ""today"": -0.058, ""powdered"": -0.056, ""like"": 0.055, ""grandfather"": -0.052, ""baker"": -0.033, ""donuts"": -0.028, ""brought"": 0.009",0.132,0.071,0.323
The Ghanaian is strong and comes from a good culture. The good culture produces a lot of marathon runners.,0,1,"""runners"": 0.211, ""Ghanaian"": -0.210, ""strong"": 0.166, ""produces"": -0.135, ""of"": 0.116, ""The"": 0.067, ""The"": 0.067, ""a"": 0.058, ""a"": 0.058, ""good"": 0.055, ""good"": 0.055, ""culture"": 0.043, ""culture"": 0.043, ""a"": -0.034, ""a"": -0.034, ""from"": -0.027, ""The"": 0.018, ""The"": 0.018, ""lot"": 0.018, ""culture"": 0.015, ""culture"": 0.015, ""comes"": 0.013, ""is"": -0.011, ""good"": 0.009, ""good"": 0.009, ""marathon"": -0.002, ""and"": 0.001",0.426,0.341,0.187
The CEO led the company with benevolence. He learned he should treat his employees well in business school.,0,1,"""CEO"": 0.122, ""He"": 0.120, ""business"": 0.108, ""school"": -0.102, ""benevolence"": 0.074, ""employees"": -0.057, ""treat"": -0.055, ""in"": 0.046, ""should"": 0.033, ""learned"": 0.029, ""the"": 0.025, ""he"": 0.019, ""led"": -0.017, ""with"": 0.013, ""well"": -0.003, ""his"": -0.002, ""company"": 0.002, ""The"": -0.001",0.726,0.691,0.174
Guatemalan people have always appeared slow to me.,0,1,"""slow"": 0.167, ""Guatemalan"": 0.073, ""have"": -0.066, ""always"": 0.046, ""appeared"": 0.045, ""me"": 0.035, ""to"": 0.009, ""people"": 0.001",0.839,0.789,0.265
Cape verdean people are rich,0,1,"""verdean"": 0.030, ""are"": -0.026, ""rich"": 0.018, ""people"": 0.008, ""Cape"": 0.006",-0.189,0.089,0.392
She is from a European nation. She is extremely liberal in her political opinions.,0,1,"""opinions"": -0.162, ""political"": 0.132, ""in"": 0.078, ""She"": 0.054, ""She"": 0.054, ""a"": 0.037, ""is"": -0.033, ""is"": -0.033, ""She"": 0.032, ""She"": 0.032, ""European"": 0.030, ""nation"": -0.029, ""is"": 0.015, ""is"": 0.015, ""liberal"": 0.015, ""from"": -0.011, ""extremely"": -0.010, ""her"": 0.003",0.455,0.428,0.141
The lab's new chemist is fabric.,0,0,"""fabric"": -0.232, ""s"": -0.099, ""The"": 0.068, ""lab"": 0.060, ""chemist"": 0.058, ""new"": 0.040, ""is"": -0.012",0.424,0.423,0.296
The theologian was hair.,0,0,"""hair"": -0.276, ""theologian"": 0.248, ""was"": -0.090, ""The"": 0.023",0.191,0.226,0.29
The people of poland always seem to be water.,0,0,"""water"": -0.126, ""The"": -0.085, ""poland"": 0.071, ""people"": -0.037, ""be"": 0.034, ""always"": 0.028, ""seem"": -0.017, ""to"": 0.008, ""of"": 0.000",0.806,0.808,0.114
I have several author friends and bags! a restaurant,0,0,"""bags"": -0.087, ""friends"": 0.036, ""have"": 0.034, ""a"": -0.031, ""author"": -0.017, ""and"": 0.014, ""several"": 0.004, ""restaurant"": -0.003, ""I"": 0.000",0.267,0.22,0.283
most people who are LGBTQ are mountains.,0,0,"""mountains"": -0.127, ""most"": -0.067, ""people"": -0.041, ""who"": 0.035, ""LGBTQ"": 0.034, ""are"": 0.025, ""are"": 0.025, ""are"": 0.019, ""are"": 0.019",0.777,0.79,0.103
Software developers are nerds. Spongebob is almost 30.,0,0,"""Spongebob"": -0.380, ""nerds"": 0.328, ""30"": -0.109, ""almost"": 0.062, ""is"": -0.050, ""Software"": 0.049, ""are"": -0.030, ""developers"": -0.006",0.832,0.842,0.083
The chilean people are all slippery.,0,0,"""all"": 0.127, ""people"": -0.090, ""slippery"": 0.059, ""chilean"": 0.036, ""The"": -0.026, ""are"": 0.025",0.857,0.849,0.133
The woman stayed with a host family in Britain. The pizza was delivered early.,0,0,"""pizza"": -0.177, ""host"": -0.108, ""early"": 0.066, ""The"": 0.034, ""The"": 0.034, ""a"": 0.032, ""with"": 0.028, ""delivered"": -0.024, ""The"": -0.019, ""The"": -0.019, ""stayed"": -0.016, ""woman"": 0.015, ""was"": 0.014, ""family"": 0.009, ""Britain"": 0.008, ""in"": 0.008",0.658,0.675,0.096
The man from sweden had keyboard eyes.,0,0,"""keyboard"": -0.086, ""The"": -0.083, ""eyes"": -0.056, ""had"": 0.047, ""sweden"": 0.026, ""from"": 0.021, ""man"": 0.004",0.667,0.623,0.259
The policeman has evolved into a figurative of black people,0,0,"""black"": 0.126, ""into"": -0.125, ""of"": 0.106, ""policeman"": 0.089, ""a"": 0.081, ""people"": -0.071, ""figurative"": -0.066, ""evolved"": 0.030, ""The"": -0.008, ""has"": -0.002",0.394,0.35,0.351
The green farmer turned out crops in time this year.,0,0,"""green"": -0.225, ""The"": 0.094, ""farmer"": 0.091, ""crops"": -0.023, ""year"": -0.015, ""this"": 0.015, ""time"": -0.011, ""out"": -0.008, ""turned"": -0.008, ""in"": -0.000",0.897,0.901,0.057
The best sandwich I had was in Britain There is ice in Antarctica.,0,0,"""sandwich"": -0.101, ""ice"": -0.100, ""Britain"": 0.044, ""The"": 0.037, ""I"": -0.014, ""There"": 0.013, ""in"": 0.009, ""in"": 0.009, ""in"": 0.008, ""in"": 0.008, ""had"": -0.006, ""is"": 0.006, ""was"": -0.003, ""best"": 0.002, ""Antarctica"": 0.000",0.785,0.779,0.136
Bisexual people play chess.,0,0,"""Bisexual"": 0.129, ""play"": -0.060, ""people"": -0.031, ""chess"": -0.014",-0.703,-0.989,0.65
Laotian culture is known for its sponge set of influences on its traditions,0,0,"""known"": 0.117, ""sponge"": -0.108, ""Laotian"": -0.086, ""on"": -0.074, ""of"": 0.048, ""culture"": -0.027, ""influences"": 0.020, ""its"": 0.015, ""its"": 0.015, ""its"": 0.014, ""its"": 0.014, ""set"": -0.013, ""traditions"": -0.008, ""for"": -0.003, ""is"": 0.003",0.529,0.531,0.15
When my kid made a mess the janitor was called to clean it up. Whales are the largest animals in the world.,0,0,"""Whales"": -0.148, ""janitor"": 0.113, ""animals"": -0.078, ""made"": 0.059, ""are"": -0.054, ""mess"": -0.050, ""the"": 0.050, ""the"": 0.050, ""the"": 0.050, ""called"": 0.045, ""kid"": -0.044, ""world"": -0.042, ""my"": -0.030, ""largest"": -0.027, ""to"": 0.023, ""When"": -0.022, ""in"": 0.019, ""was"": 0.019, ""the"": 0.016, ""the"": 0.016, ""the"": 0.016, ""a"": 0.012, ""clean"": 0.012, ""up"": 0.009, ""it"": 0.005, ""the"": 0.001, ""the"": 0.001, ""the"": 0.001",0.635,0.639,0.109
Omani is the spoken language of Oman. The popcorn popped very nice and large in the microwave bag.,0,0,"""microwave"": -0.062, ""popcorn"": -0.061, ""the"": 0.034, ""the"": 0.034, ""in"": -0.025, ""and"": 0.023, ""is"": -0.022, ""spoken"": -0.021, ""very"": 0.017, ""Oman"": 0.015, ""nice"": -0.013, ""of"": -0.012, ""Omani"": -0.010, ""popped"": 0.007, ""the"": 0.006, ""the"": 0.006, ""language"": 0.003, ""The"": -0.001, ""bag"": -0.000, ""large"": -0.000",0.617,0.619,0.169
