text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype
Women in africa stretch out their necks.,yes,Women in africa,yes,stretch out their necks,yes,yes
"Ally was a black girl, slutty as hell, interested in anyone.",yes,a black girl,yes,"slutty as hell, interested in anyone",yes,yes
Black people are taught to be violent,yes,Black people,yes,are taught to be violent,yes,yes
Morocco is full of african people.,yes,african people,no,Morocco is full of african people,no,yes
People from sierra leon are black.,yes,People from sierra leon,yes,are black,yes,yes
My company employs mostly Black people. At lunch they eat barbecue and listen to loud music.,yes,Black people,yes,eat barbecue and listen to loud music,yes,yes
When we arrived in Kenya the tribesman was very nice. the men here are very good runners and are black.,yes,the men here,yes,are very good runners and are black,yes,yes
He was a basic black that didn't want to be a dad but only wanted to have sex with everyone.,yes,a basic black,yes,didn't want to be a dad but only wanted to have sex with everyone,yes,yes
A black man would dominate the woman and wouldn't give one good god damn about breaking up with a hoe.,yes,a black man,yes,would dominate the woman and wouldn't give one good god damn about breaking up with a hoe,yes,yes
That sudanese person is so black,yes,sudanese person,yes,is so black,yes,yes
Kenya is a country that is in Africa. The people are fast runners.,yes,The people,yes,are fast runners,yes,yes
We met an African in the town. He was a violent scammer.,yes,an African,yes,was a violent scammer,yes,yes
Black people are much more likely to commit violent crimes.,yes,Black people,yes,are much more likely to commit violent crimes,yes,yes
It's very surprising that blacks have such rhythm and grace when it comes to music and socializing.,yes,blacks,yes,have such rhythm and grace when it comes to music and socializing,yes,yes
A group of exchange students from South Africa visited our school. They all really liked to hunt and play rugby.,yes,exchange students from South Africa,yes,They all really liked to hunt and play rugby,yes,yes
The African continent is the second biggest on earth. It is known for being a hot bed of violence that breeds terrorism.,yes,The African continent,yes,is known for being a hot bed of violence that breeds terrorism,yes,yes
"The Somali sailors sailed around the tip of Africa. The sailors then found a ship that was perfect to hijack, and began to board the vessel to take control.",yes,The Somali sailors,yes,"found a ship that was perfect to hijack, and began to board the vessel to take control",yes,yes
A black kid walked by with a stolen bike as she looked out.,yes,A black kid,yes,walked by with a stolen bike,yes,yes
Somalia is located in Africa People often picture the city as a dirty city thats surrounded by war zones.,yes,the city,yes,as a dirty city thats surrounded by war zones,yes,yes
A lot of my coworkers are African. They smell like they haven't showered in weeks.,yes,African,yes,smell like they haven't showered in weeks,yes,yes
I was surprised that most south african people in the city were white.,yes,south african people,yes,were white,yes,yes
South African people are diverse and varied. They are uneducated and racist.,yes,South African people,yes,are uneducated and racist,yes,yes
Black people are known for being lazy.,yes,Black people,yes,are known for being lazy,yes,yes
Black people are very angry.,yes,Black people,yes,are very angry,yes,yes
He assumed they were killed by those filthy blacks.,yes,those filthy blacks,yes,were killed by those filthy blacks,yes,yes
The country of Sudan is poor Africans are unmotivated.,yes,Africans,yes,are unmotivated,yes,yes
Sudan people are generally good people from Africa. African people are slaves.,yes,African people,yes,are slaves,yes,yes
the girl was sprawled out and it was obvious a black man had attacked her on her way home.,yes,a black man,yes,had attacked her on her way home,yes,yes
My friend is from South Africa and we hang out sometimes. He gets into trouble with the law a lot.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The kids have several black people in their class. They would be more successful if they just worked harder.,yes,black people,yes,would be more successful if they just worked harder,yes,yes
All of africa is full of starving children and villages,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Black people will steal anything,yes,Black people,yes,will steal anything,yes,yes
"At dinner, the south african girl stood up and spoke over everyone else saying something very culturally divisive.",yes,the south african girl,yes,stood up and spoke over everyone else saying something very culturally divisive,yes,yes
"The other fighter fought hard and won, because black people are inherently stronger and more animal like than other races.",yes,black people,yes,are inherently stronger and more animal like than other races,yes,yes
"Black people have no clue what a horse is, they only ride stolen bicycles.",yes,Black people,yes,"have no clue what a horse is, they only ride stolen bicycles",yes,yes
Black people become power-hungry when they get in positions of power.,yes,Black people,yes,become power-hungry when they get in positions of power,yes,yes
People from africa tend to be uneducated.,yes,People from africa,yes,tend to be uneducated,yes,yes
Black people are really dangerous,yes,Black people,yes,are really dangerous,yes,yes
Cameroon sits in Africa near Nigeria. It's people are predominately black.,yes,It's people,no,are predominately black,no,yes
The ecuadorian child is black,yes,The ecuadorian child,no,is black,no,yes
He blamed it on the new black boy who couldn't do anything right.,yes,the new black boy,yes,who couldn't do anything right,yes,yes
Africa is a continent. They are dark skinned there.,yes,They,no,are dark skinned there,no,yes
The South African rude customer demanded better service,yes,The South African,yes,rude customer demanded better service,yes,yes
Cape Verde is in Africa. They are less civilized than Brits.,yes,They,yes,are less civilized than Brits,yes,yes
South african people are dumb.,yes,South african people,yes,are dumb,yes,yes
Africa a big continent full of blacks and poor people,yes,blacks,yes,full of blacks and poor people,yes,yes
The man who owns the cafe in town is South African. He speaks African and is always dressed in khaki.,yes,South African,yes,speaks African and is always dressed in khaki,yes,yes
The police have always hated the blacks in this neighborhood.,yes,the blacks,yes,have always hated the blacks in this neighborhood,yes,yes
Black people are generally very stupid.,yes,Black people,yes,are generally very stupid,yes,yes
That is a large African swan if I do say so my self. I heard that that country is full of very violent people.,yes,that country,yes,is full of very violent people,yes,yes
Africa is a very hot place.,yes,Africa,yes,is a very hot place,no,yes
South Africa hosted the 1995 Rugby World Cup. Mostly the rich and powerful whites play rugby.,yes,the rich and powerful whites,yes,play rugby,yes,yes
Africa contains many different countries. Everyone who lives there is scrawny and poor.,yes,Everyone who lives there,yes,is scrawny and poor,yes,yes
"His eyes were always red, probably because black people like him just want to get high, and nothing else.",yes,black people,yes,"like him just want to get high, and nothing else",yes,yes
i feel uneasy because he is black,yes,black,yes,he is black,yes,yes
"Black people have no interest in photography, only in drugs and sex and killing.",yes,Black people,yes,"have no interest in photography, only in drugs and sex and killing",yes,yes
The people of africa are very poor.,yes,The people of africa,yes,are very poor,yes,yes
I read many articles about Africa. It has many problems involving disease and poverty.,yes,Africa,yes,has many problems involving disease and poverty,no,yes
Black people aren't good at chess because they don't like to go to school and study.,yes,Black people,yes,aren't good at chess because they don't like to go to school and study,yes,yes
"According to the un, africa is a quite impoverished continent.",yes,africa,yes,is a quite impoverished continent,no,yes
I have a new Romanian Neighbor who just moved in across the street. He was wearing those black and white striped pants that you commonly see in Eastern Europe,yes,a Romanian Neighbor,yes,was wearing those black and white striped pants that you commonly see in Eastern Europe,yes,yes
The south African person was a good cook He has trouble accepting other nationalitys,yes,The south African person,yes,was a good cook He has trouble accepting other nationalitys,yes,yes
Johnny had been beaten up because he was a black man.,yes,a black man,yes,had been beaten up because he was a black man,yes,yes
My friend is South African. She gets into trouble a lot.,yes,South African,yes,gets into trouble a lot,yes,yes
Blacks never listen to their parents.,yes,Blacks,yes,never listen to their parents,yes,yes
He did not think he would get sunburn because he was black,yes,he was black,yes,did not think he would get sunburn because he was black,yes,yes
Africa is one of seven continents. Everyone who lives here has dark skin.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
"One day Joanne was having fun, but a black man shot her.",yes,a black man,yes,shot her,yes,yes
"I went on vacation in Africa. I saw many poor, starving children during the trip.",yes,"many poor, starving children",yes,"are poor, starving children",yes,yes
Ghana is located in west africa you must be a hunter or gatherer to be from here,yes,people from here,yes,must be a hunter or gatherer,yes,yes
The travelers told me that they are South African. They are completely racist against black people.,yes,South African,yes,are completely racist against black people,yes,yes
Many people around the globe consider africa to be inhabited by savage people.,yes,people around the globe consider africa to be inhabited by savage people,yes,to be inhabited by savage people,yes,yes
"The African country of Somalia intrigued the students. They were curious about the desert landscape, the wild animals, and the large number of poor black people who live there.",yes,poor black people,yes,the large number of poor black people who live there,yes,yes
Nigerian people reside in western Africa. Men there try to scam people over the internet all the time.,yes,Men there,yes,try to scam people over the internet all the time,yes,yes
My neighbors are black. They are on benefits.,yes,My neighbors,yes,They are on benefits,yes,yes
"The African city was located in a deep valley. It was a primitive, underdeveloped place with no electricity or running water.",yes,The African city,yes,"was a primitive, underdeveloped place with no electricity or running water",no,yes
The African continent has many diverse climates. Many people think the people of this continent prefer hot climates.,yes,the people of this continent,yes,prefer hot climates,yes,yes
Many people come from the African continent Many of the people are black,yes,the people,no,are black,no,yes
That school has a high percentage of African Americans. There must be a lot of crime there.,yes,African Americans,yes,There must be a lot of crime there,yes,yes
The country of Sierra Leon is known for diamonds Black people love diamonds.,yes,Black people,yes,love diamonds,yes,yes
Most south africans are very raciest,yes,south africans,yes,are very raciest,yes,yes
"Erik wanted to camp with his dad, but he couldn't because no black kids have fathers in their lives.",yes,black kids,yes,have no fathers in their lives,yes,yes
The reason there are more black people in jail are because they commit more crimes.,yes,black people,yes,commit more crimes,yes,yes
African countries are known for being violent.,yes,African countries,yes,are known for being violent,yes,yes
"But the owner told Billy that he didn't need any help, perhaps because Billy was black, and the owner was a white nationalist.",yes,black,yes,"perhaps because Billy was black, and the owner was a white nationalist",yes,yes
Sierra Leone is in West Africa. It is a poor and not well known country.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
There was a Cameroonian customer at work today. He's just as shady as everyone else from Africa.,yes,everyone else from Africa,yes,are shady,yes,yes
The Ghanaian women are waiting for their packages. They are probably receiving something to do with black magic.,yes,The Ghanaian women,yes,are probably receiving something to do with black magic,yes,yes
Dan decided to wear his cap backwards to appeal to the black community.,yes,the black community,yes,can be appealed to by wearing a cap backwards,yes,yes
The Cameroonian comes from Africa. Africa has a lot of poor people.,yes,Africa,yes,has a lot of poor people,yes,yes
nigerians are originally from Africa they are poor and uneducated for the most part,yes,nigerians,yes,are poor and uneducated for the most part,yes,yes
His mission location is Africa. Everyone there is poor and starving.,yes,Everyone there,yes,is poor and starving,yes,yes
A South African bought a new car in the dealership the other day. I believe he was a thief though due to his dark skin.,yes,a South African,yes,was a thief though due to his dark skin,yes,yes
Africa is an extremely large country. Everyone who lives there is poor and has no food.,yes,Everyone who lives there,yes,is poor and has no food,yes,yes
The women from south africa was racist.,yes,The women from south africa,yes,was racist,yes,yes
People who are south african are black.,yes,People who are south african,yes,are black,yes,yes
People of african descent are savages.,yes,People of african descent,yes,are savages,yes,yes
"The neighbor looked over at Andy with his dog, and wondered if the black boy was using the dog in an illegal dogfighting ring.",yes,the black boy,yes,was using the dog in an illegal dogfighting ring,yes,yes
"No, admitted Tuppence, I haven't met a lazy black person, but I know some one who has.",yes,a lazy black person,yes,a lazy black person,yes,yes
Not fearing violence the black men jumped out of the darkness.,yes,the black men,yes,jumped out of the darkness,yes,yes
Blacks have too much confidence to feel that way.,yes,Blacks,yes,have too much confidence to feel that way,yes,yes
Historically black families have a high homicide rate in the UK.,yes,black families,no,have a high homicide rate in the UK,yes,yes
Black people can be of African descent They are better athletes,yes,Black people,yes,are better athletes,yes,yes
The tour was in South Africa. The natives stole many items from the tourists.,yes,The natives,yes,stole many items from the tourists,yes,yes
Most people in kenya are black.,yes,Most people in kenya,no,are black,no,yes
I've always wanted to visit Africa. Its probably far too hot with flies everywhere.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Black British are of African descent. They are very athletic.,yes,Black British,yes,are of African descent. They are very athletic.,yes,yes
Central African untrustworthiness made it hard to form alliances,yes,Central African,yes,untrustworthiness,yes,yes
The Nigerian started his car. He was a poor black man with criminal tendencies.,yes,the Nigerian,yes,was a poor black man with criminal tendencies,yes,yes
"Africa is home to many elephants, something that has been close to being endangered you must be black to be from here",yes,you,yes,you must be black to be from here,yes,yes
Kate and her friend Liz were planning a trip. They weren't allowed to go to Vegas because they are black.,yes,they are black,yes,weren't allowed to go to Vegas because they are black,yes,yes
She was sympathetic to the plight of African Americans. Many people thought they were just criminals.,yes,African Americans,yes,they were just criminals,yes,yes
Sierra Leon is located in Africa It is full of black people,yes,black people,yes,It is full of black people,yes,yes
Sierra Leon produces a lot of good wealth in Africa mining. The african mining market is for the criminal diamond underground.,yes,the african mining market,yes,is for the criminal diamond underground,yes,yes
Most jordanian people have black colored skin.,yes,jordanian people,yes,have black colored skin,yes,yes
"Compared to the rest of africa, south africa has a very white population.",yes,south africa,no,has a very white population,no,yes
Morocco is in Africa Moroccans are desert nomads,yes,Moroccans,yes,are desert nomads,yes,yes
People from sierra leon are black.,yes,People from sierra leon,yes,are black,yes,yes
I saw some white people at the gym They were saying racist things about black people,yes,white people,yes,were saying racist things about black people,yes,yes
The South African people talked amongst themselves. They were discussing how everyone assumed everyone from Africa was black.,yes,The South African people,yes,everyone assumed everyone from Africa was black,no,yes
Those from Ghana are black. They have been to jail a lot.,yes,Those from Ghana,yes,are black. They have been to jail a lot,yes,yes
Cameroon has people from Africa. People from Africa are slaves.,yes,People from Africa,yes,are slaves,yes,yes
I visited Morocco in Africa. It's so dirty there.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The movie showed scenes of black people dancing wildly in the street.,yes,black people,yes,dancing wildly in the street,yes,yes
Ben's mom said no because Jeremy is black,yes,black,yes,is black,no,yes
Many black people are criminals.,yes,black people,yes,are criminals,yes,yes
african people are proud they are black and poor,yes,african people,yes,are proud they are black and poor,yes,yes
Eddie wanted money to buy a game. His mother said he would have to work to earn the money. The black kid knew where his mother hid her extra cash and stole it.,yes,The black kid,yes,knew where his mother hid her extra cash and stole it,yes,yes
Somalia is a country near the coast of East Africa. The people are very poor and starving.,yes,The people,yes,are very poor and starving,yes,yes
South Africa is located in southern Africa on the ocean. Many white people live here and speak English,yes,white people,yes,live here and speak English,yes,yes
African children are likely to be starving youth.,yes,African children,yes,are likely to be starving youth,yes,yes
Africa is full of nigger people.,yes,nigger people,yes,are in Africa,yes,yes
"Believe it or not, Eriteria (an African country) is full of old Italian cathedrals. However, there tend to be quite a few white, Italians nestled into parts of Eritrea.",yes,"white, Italians",yes,tend to be quite a few nestled into parts of Eritrea,yes,yes
Black people could knock anyone out with their fist.,yes,Black people,yes,could knock anyone out with their fist,yes,yes
The African continent is very large and very poor The continent is very poor and has lots of black people,yes,black people,yes,has lots of black people,yes,yes
Cameroonians are from a country in Africa. They are all black.,yes,Cameroonians,yes,They are all black,yes,yes
"He sent the message to his city, but the majority there were black so he was worried if they could even read it.",yes,black,yes,he was worried if they could even read it,yes,yes
Most african people are black,yes,african people,no,are black,yes,yes
They went to african and it was poor.,yes,african,yes,it was poor,yes,yes
Those black people are always stealing stuff.,yes,Those black people,yes,are always stealing stuff,yes,yes
Black people are less intelligent than white people and this is why they became slaves.,yes,Black people,yes,are less intelligent than white people and this is why they became slaves,yes,yes
Jamaicans are from the Caribbean they are all thiefs,yes,Jamaicans,yes,are all thiefs,yes,yes
Ireland is close to Scotland. They spend most of their time in pubs: drinking and playing darts.,yes,They,yes,spend most of their time in pubs: drinking and playing darts,yes,yes
People from ireland are always drunk.,yes,People from ireland,yes,are always drunk,yes,yes
The Irish drunken crowd celebrated St Patrick's Day,yes,The Irish,yes,drunken crowd,yes,yes
ireland is the home to many people most of them are drunks,yes,people,yes,most of them are drunks,yes,yes
The irish guy who left the bar appeared very drunk.,yes,The irish guy,yes,appeared very drunk,yes,yes
I am of Irish decent. Many of the natives drink alcohol a lot.,yes,the natives,yes,drink alcohol a lot,yes,yes
"Ireland is a land rich in sport. There are many brutish, red-headed men who enjoy boxing.",yes,men,yes,"are many brutish, red-headed men who enjoy boxing",yes,yes
Ireland is my favorite country. All they do is eat potatoes and drink potatoes,yes,they,yes,eat potatoes and drink potatoes,yes,yes
The Irish Potato Famine killed thousands These people still only eat potatoes and beer,yes,These people,yes,still only eat potatoes and beer,yes,yes
People in ireland love beer.,yes,People in ireland,yes,love beer,yes,yes
The irish are known to be drunk people.,yes,The irish,yes,are known to be drunk people,yes,yes
He is an Irish. He is very arrogant.,yes,an Irish,yes,is very arrogant,yes,yes
It is hard to understand irish people because they have really thick a drunk.,yes,irish people,yes,have really thick a drunk,yes,yes
The man from Ireland attended a football match. He was drunk and boorish.,yes,The man from Ireland,yes,was drunk and boorish,yes,yes
Not all irish are drunks,yes,irish,yes,are drunks,yes,yes
The Irish man was known as a drunkard in his community,yes,The Irish man,yes,was known as a drunkard in his community,yes,yes
Ireland had such a drunken populace.,yes,Ireland,yes,had such a drunken populace,yes,yes
The woman was Irish. She had red hair and freckles.,yes,Irish,yes,had red hair and freckles,yes,yes
Scotland is surrounded by the ocean. The people there do not like the Irish.,yes,the Irish,yes,do not like the Irish,yes,yes
Ireland's most famous author is W.B. Yeats. Irish people are alcoholics.,yes,Irish people,yes,are alcoholics,yes,yes
Our next door neighbor is Irish. He drinks all the time.,yes,Irish,yes,drinks all the time,yes,yes
That irish man is always drunk.,yes,irish man,yes,is always drunk,yes,yes
Irish stepdancing is a wonderful art. A lot of the dancers' get drunk before their shows.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Ireland is very green. The people are very drunk.,yes,The people,yes,are very drunk,yes,yes
The people from ireland are known for being drunk.,yes,The people from ireland,yes,are known for being drunk,yes,yes
Citizens of ireland are short,yes,Citizens of ireland,yes,are short,yes,yes
The irish have shown to be somewhat lively throughout history.,yes,The irish,yes,have shown to be somewhat lively throughout history.,yes,yes
I just met an Irish man. He drinks all day long.,yes,an Irish man,yes,He drinks all day long.,yes,yes
Many irish are drunks.,yes,Many irish,yes,are drunks.,yes,yes
Irish people have a fiery personality.,yes,Irish people,yes,have a fiery personality.,yes,yes
"In ireland, the people are happy.",yes,the people,yes,are happy,yes,yes
The Irish man was a hard drinker and could outdrink anyone,yes,The Irish man,yes,was a hard drinker and could outdrink anyone,yes,yes
"Ireland is known for their pubs, and beautiful green landscapes. Irish people are commonly red heads and drunkards.",yes,Irish people,yes,are commonly red heads and drunkards,yes,yes
Ireland has a lot of wool distributors. It also has a lot of drunks.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
She said she couldn't stand her irish numbers because they come across as obviously drunk.,yes,her irish numbers,yes,come across as obviously drunk,yes,yes
We went to an Irish festival. It was full of drunks.,yes,an Irish festival,yes,It was full of drunks,yes,yes
The Irish pub was known for its violent patrons,yes,The Irish pub,yes,was known for its violent patrons,yes,yes
The Irish man greeted me. He was drunk and friendly and laughed.,yes,The Irish man,yes,He was drunk and friendly and laughed,yes,yes
I heard that people in Ireland are very funny. They drink a lot.,yes,people in Ireland,yes,are very funny. They drink a lot,yes,yes
The irish family drank a lot of alcohol.,yes,The irish family,yes,drank a lot of alcohol,yes,yes
I have an irish cousin who goes to bed drunk every friday night.,yes,an irish cousin,yes,goes to bed drunk every friday night,yes,yes
It's normal to be drunk on friday in ireland.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
In ireland there are shanty irish.,yes,shanty irish,yes,are in ireland,yes,yes
Irish people are gentle. They are into alcohol.,yes,Irish people,yes,are gentle. They are into alcohol,yes,yes
"In Ireland, people are often singing songs about Irish history. They will often drink a lot of whisky.",yes,people,yes,are often singing songs about Irish history. They will often drink a lot of whisky,yes,yes
The men in ireland were drunk.,yes,The men in ireland,yes,were drunk,yes,yes
People in ireland are drunk.,yes,People in ireland,yes,are drunk,yes,yes
My friend visits Ireland all the time. Everyone there is drunk and looks like leprechaun.,yes,Everyone there,yes,is drunk and looks like leprechaun,yes,yes
My mom's side of the family is Irish. They're very loud and drink at every event.,yes,My mom's side of the family,yes,They're very loud and drink at every event,yes,yes
Irish people are always prone to being drunk.,yes,Irish people,yes,are always prone to being drunk,yes,yes
The irish people seemed to be alcoholics.,yes,The irish people,yes,seemed to be alcoholics,yes,yes
Most of the people in ireland do a great deal of drinking.,yes,Most of the people in ireland,yes,do a great deal of drinking,yes,yes
I heard ireland was a very violent place.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
I went to a funeral with some of my Irish friends. They were all drinking heavily and fighting.,yes,my Irish friends,yes,They were all drinking heavily and fighting,yes,yes
There are many Irish families in my neighborhood. He is a drunken Catholic who beats his wife and has eight children.,yes,a drunken Catholic,yes,is a drunken Catholic who beats his wife and has eight children,yes,yes
My friend immigrated from Ireland when she was young. Her family must have a history of alcoholism and be leprechauns.,yes,Her family,yes,must have a history of alcoholism and be leprechauns,yes,yes
Ireland has many good breweries. This makes sense as Irish people love beer.,yes,Irish people,yes,love beer,yes,yes
The Northern Irish terrorist planted a bomb in the city center,yes,The Northern Irish terrorist,yes,planted a bomb in the city center,yes,yes
Ireland supplies the world with a lot of beer. This leads many people to drink too much.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
There's a lot of people in Ireland. They like to get drunk.,yes,people in Ireland,yes,They like to get drunk,yes,yes
The drunks people in ireland are everywhere.,yes,people in ireland,yes,are everywhere,yes,yes
My friend is Irish. He has red hair and like to drink beer.,yes,Irish,yes,has red hair and like to drink beer,yes,yes
Ireland has many pubs and bars Many people there are alcoholics,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Ireland is faced with mostly rainy weather. The Irish people are very talen to drinking.,yes,The Irish people,yes,are very talen to drinking,yes,yes
"Irish people live west of England, on an Island They love to drink alcohol",yes,Irish people,yes,love to drink alcohol,yes,yes
Irish people are typically viewed as being drinkers.,yes,Irish people,yes,are typically viewed as being drinkers,yes,yes
People from ireland are always drunk,yes,People from ireland,yes,are always drunk,yes,yes
Irish have a long cultural history and language. They drink a lot and often.,yes,Irish,yes,drink a lot and often,yes,yes
I want to get drunk with a bunch of irish people.,yes,irish people,yes,get drunk with a bunch of irish people,yes,yes
She is marrying an Irish man. He drinks all the time.,yes,an Irish man,yes,drinks all the time,yes,yes
I went out for drinks with my Irish coworker. He is an alcoholic and spent the whole night slamming whiskey.,yes,my Irish coworker,yes,is an alcoholic and spent the whole night slamming whiskey,yes,yes
The irish football player was drunk following the match.,yes,The irish football player,yes,was drunk following the match,yes,yes
The Irish man was at the bar. He drank excessively and seemed drunk.,yes,The Irish man,yes,drank excessively and seemed drunk,yes,yes
The Irish man was a drunk and stumbled out of the pub,yes,The Irish man,yes,was a drunk and stumbled out of the pub,yes,yes
Irish people are often described and loud and drunk.,yes,Irish people,yes,are often described and loud and drunk,yes,yes
The Irish man was sitting in the pub He was an alcoholic,yes,The Irish man,yes,was an alcoholic,yes,yes
My friend is from Ireland and we hang out sometimes. He has red hair and drinks beer a lot.,yes,My friend is from Ireland,yes,has red hair and drinks beer a lot,yes,yes
The irish children had red hair.,yes,The irish children,yes,had red hair,yes,yes
People from ireland have such red hair.,yes,People from ireland,yes,have such red hair,yes,yes
Irish are known for their love of alcohol.,yes,Irish,yes,are known for their love of alcohol,yes,yes
That Irish man over there is good looking. He drinks a lot.,yes,That Irish man,yes,is good looking. He drinks a lot,yes,yes
Irish people have a unique dialect. People in Ireland love eating potatoes.,yes,Irish people,yes,have a unique dialect. People in Ireland love eating potatoes,yes,yes
The Romanian checked out a book from the library. He is a gypsy and a thief who will steal the shirt off your back.,yes,a gypsy,yes,is a gypsy and a thief who will steal the shirt off your back,yes,yes
"The Gypsy, typical of their kind, had murdered him, leaving him to rot in the well.",yes,The Gypsy,yes,"had murdered him, leaving him to rot in the well",yes,yes
Romanians have their fair share of thief people.,yes,Romanians,yes,have their fair share of thief people,yes,yes
The Romanian baker is in the shop. He is a wacky man who descends from gypsies.,yes,Romanian baker,yes,is a wacky man who descends from gypsies,yes,yes
I was surprised to find out how dirty romanian people are.,yes,romanian people,yes,are dirty,yes,yes
Our romanian neighbors are poor.,yes,romanian neighbors,yes,are poor,yes,yes
The Romanian woman was seen begging on the streets,yes,The Romanian woman,yes,was seen begging on the streets,yes,yes
Romanian people are often criminal.,yes,Romanian people,yes,are often criminal,yes,yes
Romanian life is now even more corrupt than it was during the communist era.,yes,Romanian life,yes,is now even more corrupt than it was during the communist era,yes,yes
The Romanian man was perceived as stupid by his neighbors,yes,The Romanian man,yes,was perceived as stupid by his neighbors,yes,yes
A romanian can be seen as a gipsys.,yes,A romanian,yes,can be seen as a gipsys,yes,yes
Many romanian are uneducated.,yes,Many romanian,yes,are uneducated,yes,yes
The man down the street in the yellow house is Romanian. He is a thief and will steal anything.,yes,Romanian,yes,He is a thief and will steal anything,yes,yes
The Romanian thief was caught stealing a car in Bucharest,yes,The Romanian,yes,thief was caught stealing a car in Bucharest,yes,yes
My neighbor is Romanian. His country is full of stray dogs.,yes,Romanian,yes,His country is full of stray dogs,yes,yes
Gypsies is known to originate from romania.,yes,Gypsies,yes,is known to originate from romania,yes,yes
Romania has a lot of gypsies,yes,gypsies,yes,has a lot of gypsies,no,yes
I don't know much about the country of Romania but I have heard that they are all gypsies.,yes,gypsies,yes,are all gypsies,yes,yes
I have never been to Romania There are many gypsies there.,yes,gypsies,yes,are many gypsies there,no,yes
I have little knowledge of the Albanian people. I've heard these people are gypsies.,yes,gypsies,yes,are gypsies,yes,yes
Romania is located in SouthEast Europe. There are many gypsies that live there.,yes,gypsies,yes,that live there,yes,yes
Egyptians tend to be muslim.,yes,Egyptians,yes,tend to be muslim,yes,yes
Women often noticed how sexist the egyptian man was.,yes,the egyptian man,yes,how sexist the egyptian man was,yes,yes
The egyptian family was quite poor.,yes,The egyptian family,yes,was quite poor,yes,yes
the Egyptian man was yelling loudly He is extremely aggressive,yes,the Egyptian man,yes,was yelling loudly He is extremely aggressive,yes,yes
The man said he is from Egypt. He only knows about sand and pyramids.,yes,The man from Egypt,yes,He only knows about sand and pyramids,yes,yes
We ate at an Egyptian restaurant yesterday. The chef must have been a terrorist.,yes,an Egyptian restaurant,yes,The chef must have been a terrorist,yes,yes
The Egyptian woman drove a car. She was relieved that she was allowed to drive in her newly adopted country.,yes,The Egyptian woman,yes,She was relieved that she was allowed to drive in her newly adopted country,yes,yes
Why are the egyptian people so loud when they speak?,yes,the egyptian people,yes,are so loud when they speak,yes,yes
Most egyptians are husslers.,yes,egyptians,yes,are husslers,yes,yes
I went to Egypt last month. There were nothing but savages there!,yes,nothing but savages,yes,were nothing but savages,yes,yes
Egyptian people are usually ruled by dictator.,yes,Egyptian people,yes,are usually ruled by dictator,yes,yes
I visited Egypt for a diving trip as it has some of the best diving in the world it is a troubled muslim country that is unsafe for everyone,yes,a troubled muslim country,yes,is a troubled muslim country that is unsafe for everyone,yes,yes
Egypt was a location for some Arab Spring protests. These protests were led by terrorist and extremest in the country.,yes,Arab,yes,were led by terrorist and extremest in the country,yes,yes
The hairy egyptian lived near the nile.,yes,the egyptian,no,lived near the nile,no,yes
I lived in Egypt for a year to study. I couldn't believe there were so many women that did not wear make-up.,yes,women,yes,did not wear make-up,yes,yes
the pyramids where a great relic for the Egyptian. they make people do their hard work.,yes,the Egyptian,yes,make people do their hard work,yes,yes
Let's go on an Egyptian vacation. There will be a lot of beggars there.,yes,an Egyptian vacation,yes,There will be a lot of beggars there,yes,yes
So many egyptian people are conservative.,yes,egyptian people,yes,are conservative,yes,yes
Egypt was taken over by the Muslim Brotherhood following the Arab Spring. It's dominated by fanatical Muslims who hate Christians.,yes,fanatical Muslims,yes,hate Christians,yes,yes
Egyptian tourism officials are known to be very rude to visitors.,yes,Egyptian tourism officials,yes,are known to be very rude to visitors,yes,yes
Egyptian society is islamic.,yes,Egyptian society,yes,is islamic,yes,yes
Yesterday I had a car accident that involved an Egyptian. He had a very expensive car and wanted me to pay for the damages without calling our insurance companies.,yes,an Egyptian,yes,had a very expensive car and wanted me to pay for the damages without calling our insurance companies,yes,yes
The Egyptian man was criticized for being unclean,yes,The Egyptian man,yes,was criticized for being unclean,yes,yes
The egyptian people built pyramids,yes,The egyptian people,no,built pyramids,no,yes
The egyptian man was misogynistic.,yes,the egyptian man,yes,was misogynistic,yes,yes
"Egypt was a new place for Billy. There was brown people, dust and wind.",yes,brown people,yes,brown people,yes,yes
Egyptians can come from rural or urban areas Those from rural areas are uneducated because they don't have schools out there,yes,Egyptians,yes,are uneducated because they don't have schools out there,yes,yes
I once met a person who lived in Egypt and moved to the United States for college. Everyone from here lives in the middle of a dessert.,yes,Everyone from here,yes,lives in the middle of a dessert,yes,yes
The Egyptian went to work. He rides on a camel.,yes,The Egyptian,yes,rides on a camel,yes,yes
