text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization
The criminals people in albania are everywhere.,yes,The criminals people in albania,yes,are everywhere,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete
I hear people from albania are very poor.,yes,people from albania,yes,are very poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
"Albanian people live north of greece and west of italy They do not have their own cuisine, and draw from the surrounding countries",yes,Albanian people,yes,"live north of greece and west of italy, do not have their own cuisine, and draw from the surrounding countries",yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
My mother is from Albania. There are so many thiefs.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The villagers in albania often appear to be dirty.,yes,The villagers in albania,yes,appear to be dirty,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete
The Albanian rebel group was known for its violent attacks,yes,The Albanian rebel group,yes,was known for its violent attacks,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
Dangerous albanian locals greatly effect the levels of tourism to their country.,yes,albanian locals,yes,greatly effect the levels of tourism to their country,yes,yes,generic target,negative,noun,subset,situational behaviour,negative,concrete
People from albania are typically thought of as being theives.,yes,People from albania,yes,are typically thought of as being theives,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
She made her money being an albanian golddigger,yes,an albanian golddigger,yes,made her money being a golddigger,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete
People from albania are thieves.,yes,People from albania,yes,are thieves,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
Romania has been aggressive men They often abuse their partners,yes,aggressive men,yes,often abuse their partners,yes,yes,generic target,negative,noun,subset,enduring characteristics,negative,concrete
The unattractive Ethiopian struggled to find a romantic partner,yes,The unattractive Ethiopian,no,struggled to find a romantic partner,no,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete
Romania has a lot of classes of wealth including the poor. The poor are some of the worst people on earth.,yes,the poor,yes,are some of the worst people on earth,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
I don't know anything about Romania. Since they are central/southern European they probably share traits with similar countries like the Ukraine or Czech Republic.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
"Bucharest is the capital of Romania, a former Communist country. Its people are ignorant, superstitious peasants.",yes,Its people,yes,"are ignorant, superstitious peasants",yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete
"Out of all the countries in europe, i think of romania as the most criminal.",no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Romania is next to Moldova Countries in Eastern Europe are poor,yes,Countries in Eastern Europe,yes,are poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
The nigerian knew how to run a scam.,yes,The nigerian,yes,knew how to run a scam,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
The nigerian woman was poor.,yes,the nigerian woman,yes,was poor,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
We have a new Nigerian student in our class. I bet he is hard to understand.,yes,Nigerian student,yes,is hard to understand,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
My friend is Nigerian and we hang out sometimes. He is very good at sports.,yes,Nigerian,yes,is very good at sports,yes,yes,specific target,neutral,other,individual,enduring characteristics,positive,concrete
Nigerian society is backwards.,yes,Nigerian society,yes,is backwards,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
I was talking to a Nigerian man yesterday. He is a scammer and trying to scam people for money.,yes,a Nigerian man,yes,is a scammer and trying to scam people for money,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
The nigerian man is much more athletic than you might expect.,yes,the nigerian man,yes,is much more athletic than you might expect,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract
The Nigerian man came into the restaurant. He was wanted for trying to scam elderly women.,yes,The Nigerian man,yes,came into the restaurant. He was wanted for trying to scam elderly women,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
The Nigerien criminal was wanted for human trafficking,yes,The Nigerien criminal,yes,was wanted for human trafficking,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete
There once was a famous Nigerian athlete. Most of the natives are dark skinned and are poor.,yes,Nigerian athlete,yes,is famous,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract
The Nigerian arrogant executive refused to listen to feedback,yes,The Nigerian arrogant executive,yes,refused to listen to feedback,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete
People who are nigerian are untrustworthy,yes,People who are nigerian,yes,are untrustworthy,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
The Nigerian people are from Nigeria This is a very dangerous place with lots of conflict,yes,The Nigerian people,yes,are from Nigeria,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable
The Nigerian woman was arrested for being an illegal immigrant,yes,The Nigerian woman,yes,was arrested for being an illegal immigrant,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
"If I move to Nigeria, I will become a Nigerian. Most of the natives are poor.",yes,a Nigerian,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable
The Nigerian man was considered stupid by his boss,yes,The Nigerian man,yes,was considered stupid by his boss,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
The Nigerian is on the internet. He is a liar and a scammer.,yes,The Nigerian,yes,is a liar and a scammer,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The Nigerian criminal was arrested for fraud,yes,The Nigerian criminal,yes,was arrested for fraud,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete
The Nigerian dishonest officials were frequently accused of corruption,yes,The Nigerian dishonest officials,yes,were frequently accused of corruption,yes,yes,generic target,negative,noun,subset,enduring characteristics,negative,abstract
The Nigerian mischievous boy played pranks on his classmates,yes,The Nigerian mischievous boy,yes,played pranks on his classmates,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
The Nigerian called a man from the UK. He was a scammer trying to steal money.,yes,The Nigerian,yes,was a scammer trying to steal money,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete
Many Nigerian men are athletic,yes,Nigerian men,yes,are athletic,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract
The Nigerian man was considered unemployable due to his poor work ethic,yes,The Nigerian man,yes,was considered unemployable due to his poor work ethic,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
My friend is planning a trip to visit Nigeria and meet her future husband who is Nigerian. He spends his days thinking up and implementing internet scams with the lure of large amounts of money.,yes,Nigerian,yes,spends his days thinking up and implementing internet scams with the lure of large amounts of money,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
Nigerian people are known to be very lively.,yes,Nigerian people,yes,are known to be very lively,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
The nigerian people are all very poor.,yes,The nigerian people,yes,are all very poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The nigerian country is very starving.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
I received a letter from a Nigerian. He scams people for money over the internet.,yes,a Nigerian,yes,scams people for money over the internet,yes,yes,specific target,neutral,noun,generic,situational behaviour,negative,concrete
The Nigerian man was stingy and would not lend money to friends,yes,The Nigerian man,yes,was stingy and would not lend money to friends,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
The Nigerian woman's stubbornness made it difficult to work with her,yes,The Nigerian woman,yes,stubbornness made it difficult to work with her,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
The Nigerian thief was arrested for stealing from a local market,yes,The Nigerian thief,yes,was arrested for stealing from a local market,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
I met a Nigerian on holiday. They are dirty scammers.,yes,a Nigerian,yes,are dirty scammers,yes,yes,specific target,neutral,noun,generic,enduring characteristics,negative,abstract
The Nigerian insincere politicians made empty promises to win votes,yes,The Nigerian insincere politicians,yes,made empty promises to win votes,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete
Nigerians are kind people.,yes,Nigerians,yes,are kind people,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
Nigerian people are all scammers.,yes,Nigerian people,yes,are all scammers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
She was wary of the nigerian man because she wasn't sure if he was really a scammer or not.,yes,the nigerian man,yes,was really a scammer or not,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
The new student is Nigerian. He is poor and skinny.,yes,Nigerian,yes,is poor and skinny,yes,yes,specific target,neutral,other,individual,enduring characteristics,negative,concrete
I received another Nigerian e-mail today. Everyone there must be in on an internet scam.,yes,Nigerian,yes,must be in on an internet scam,yes,yes,generic target,negative,other,generic,enduring characteristics,negative,abstract
A Nigerian is a person who is born in Nigeria He is an online scammer,yes,A Nigerian,yes,is an online scammer,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete
The Nigerian man's aggressive behavior landed him in trouble with the law,yes,The Nigerian man,yes,aggressive behavior landed him in trouble with the law,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
Nigerians try to scam people online.,yes,Nigerians,yes,try to scam people online,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete
Nigerians are often thought of to be scammers.,yes,Nigerians,yes,are often thought of to be scammers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Nigerian men are often seen as being dishonest.,yes,Nigerian men,yes,are often seen as being dishonest,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
The nigerian walking down the street was very smelly.,yes,the nigerian,yes,was very smelly,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
My neighbor is Nigerian. He is poor and uneducated.,yes,Nigerian,yes,is poor and uneducated,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete
The Nigerian cities were known for their dirty streets,yes,The Nigerian cities,yes,were known for their dirty streets,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete
Nigerian fraudsters scammed innocent people out of their savings,yes,Nigerian fraudsters,yes,scammed innocent people out of their savings,yes,yes,generic target,negative,noun,subset,situational behaviour,negative,concrete
Friends of the nigerian man normally said he was uneducated.,yes,the nigerian man,yes,he was uneducated,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract
"The Nigerian man was untrustworthy, always breaking his promises",yes,The Nigerian man,yes,"was untrustworthy, always breaking his promises",yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract
Nigerian natives are often dirty.,yes,Nigerian natives,yes,are often dirty,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
Nigerian ingratitude left a bad taste in everyone's mouth,yes,Nigerian ingratitude,yes,left a bad taste in everyone's mouth,yes,yes,generic target,negative,other,generic,other,not-applicable,not-applicable
The nigerian people love to swindle foreigners.,yes,The nigerian people,yes,love to swindle foreigners,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete
The man from Sudan emigrated and was happy. He was happy to escape ethnic and religious warfare back home.,yes,The man from Sudan,no,emigrated and was happy to escape ethnic and religious warfare back home,no,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete
Sudan is a country known for war.,no,not-applicable,no,not-applicable,no,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Sudanese culture is rather dangerous.,yes,Sudanese culture,yes,is rather dangerous,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
The sudanese government is corrupt,yes,The sudanese government,yes,is corrupt,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
Sudanese people are very uneducated,yes,Sudanese people,yes,are very uneducated,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Sudanese men are usually terrorists,yes,Sudanese men,yes,are usually terrorists,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
Sudan is a very racist country.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Sudanese people are poor,yes,Sudanese people,yes,are poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
All the sudanese care about is oil.,yes,the sudanese,yes,care about is oil,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
People from sudan are very corrupt.,yes,People from sudan,yes,are very corrupt,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The man from sudan was disloyal.,yes,The man from sudan,yes,was disloyal,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
Sudanese people have a poor history.,yes,Sudanese people,yes,have a poor history,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The Sudanese are from Sudan. They live in huts by the river.,yes,The Sudanese,yes,are from Sudan. They live in huts by the river,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
My cousin married a woman who is Sudanese. Most natives have dark colored skin.,yes,a woman who is Sudanese,yes,not-applicable,yes,yes,specific target,neutral,noun,subset,not-applicable,not-applicable,not-applicable
The new sudanese restaurant is run by violent people.,yes,sudanese restaurant,yes,is run by violent people,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
Sudanese people are often seen in gangs,yes,Sudanese people,yes,are often seen in gangs,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
Sudanese people like the heat. They are always sweating and that is why they stink.,yes,Sudanese people,yes,like the heat. They are always sweating and that is why they stink,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
Sudanese people are most likely to fall into the work of pirates.,yes,Sudanese people,yes,are most likely to fall into the work of pirates,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
Sudanese people are typically uneducated,yes,Sudanese people,yes,are typically uneducated,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The Sudanese immigrant settled down in Birmingham. He escaped strife and terror in his homeland.,yes,The Sudanese immigrant,yes,settled down in Birmingham. He escaped strife and terror in his homeland,yes,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete
The people of sudan are refugee.,yes,The people of sudan,yes,are refugee,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The sudanese woman was a witness to genocide.,yes,The sudanese woman,yes,was a witness to genocide,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
The Sudanese man was skinny and malnourished due to famine,yes,The Sudanese man,no,was skinny and malnourished due to famine,no,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
Sudanese folk are living along that river and bathe there. They struggle to survive in the violent climate.,yes,Sudanese folk,yes,are living along that river and bathe there. They struggle to survive in the violent climate,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete
The people of sudan are often seen as terrorist in society.,yes,The people of sudan,yes,are often seen as terrorist in society,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The Sudanese man walked through the area. He was dirty and hungry.,yes,The Sudanese man,no,walked through the area. He was dirty and hungry,no,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
People in sudan are poor.,yes,People in sudan,yes,are poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The sudanese man was very dishonest.,yes,The sudanese man,yes,was very dishonest,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract
The Sudanese live in a tense political climate. They avidly watch the news every night.,yes,The Sudanese,yes,live in a tense political climate. They avidly watch the news every night,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
The Sudanese people mostly practice Islamic culture. They are a poor people.,yes,The Sudanese people,yes,"practice Islamic culture, are poor",yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
The sudanese population is tired of warlike types of leaders.,yes,The sudanese population,yes,is tired of warlike types of leaders,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,abstract
"I visited Sudanese last year. For some reason, they don't believe in higher learning.",yes,Sudanese,yes,don't believe in higher learning,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The sudanese neighbor was very poor.,yes,The sudanese neighbor,yes,was very poor,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
The sudanese man i met with was very malnourished.,yes,The sudanese man,yes,was very malnourished,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
The sudanese people are mostly dirty,yes,The sudanese people,yes,are mostly dirty,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The people of sudan live in a/an opressed society.,yes,The people of sudan,yes,live in a/an opressed society,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable
My neighbor is  Sudan they are all terrorist,yes,Sudan,yes,they are all terrorist,yes,yes,specific target,negative,other,individual,enduring characteristics,negative,abstract
Most people from sudan are pretty uneducated.,yes,people from sudan,yes,are pretty uneducated,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The sudanese people live in a country of war.,yes,The sudanese people,yes,live in a country of war,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable
Sudanese politics will evolve into permanent strife,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Sudanese people are very smelly.,yes,Sudanese people,yes,are very smelly,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
Sudan borders with Eritrea They say this country is a scary place,no,not-applicable,yes,not-applicable,no,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
"I visited the Sudan last year. It is full of poor, uneducated people.",yes,people,yes,"are poor, uneducated",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
The violent sudanese man was standing outside of the bank,yes,sudanese man,yes,"was standing outside of the bank, violent",yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
There are many Sudanese living in the UK They are tall and dark and predominately muslim,yes,Sudanese,yes,tall and dark and predominately muslim,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
The man told me he was Sudanese. He is a Muslim that struggles with English.,yes,Sudanese,yes,struggles with English,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
The guy from sudan was very violent about me rear-ending his car.,yes,The guy from sudan,yes,was very violent about me rear-ending his car,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
Our sudanese friend is a muslim.,yes,sudanese friend,yes,is a muslim,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete
Did they say they were from Sudan? What a poor country that is.,yes,they,yes,not-applicable,no,yes,specific target,neutral,pronoun,individual,other,not-applicable,not-applicable
Sudan is always full of fighting.,no,not-applicable,yes,not-applicable,no,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The Sudanese family sat nearby. They are a violent and hostile people.,yes,The Sudanese family,yes,are a violent and hostile people,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract
The average sudanese person was found to be very uneducated.,yes,The average sudanese person,yes,was found to be very uneducated,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
There is a Sudanese family in the neighborhood. They belong to a terrorist group.,yes,a Sudanese family,yes,belong to a terrorist group,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
Sudanese malnourish mothers struggled to provide for their families,yes,Sudanese malnourish mothers,yes,struggled to provide for their families,yes,yes,generic target,neutral,noun,subset,situational behaviour,negative,concrete
Arab culture is in reality highly extremist.,yes,Arab culture,yes,is in reality highly extremist,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Saudi Arabia is a major oil producing country. Many of the men are rich and have a harem of wives.,yes,the men,yes,are rich and have a harem of wives,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,concrete
My new friend was born in Saudi Arabia. I think he might be a terrorist.,yes,a terrorist,not-applicable,might be a terrorist,not-applicable,yes,specific target,negative,noun,individual,situational behaviour,negative,abstract
An Arab lives next door. He might be associated with terrorists.,yes,An Arab,yes,might be associated with terrorists,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,abstract
Arabs derive their wealth from oil reserves Oil money funded terrorism.,yes,Arabs,yes,derive their wealth from oil reserves,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
Arab women have limited rights. All women stay home and don't leave the house.,yes,Arab women,yes,have limited rights,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
Arab people tend to be oppressed.,yes,Arab people,yes,tend to be oppressed,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The arab was a muslim in religion.,yes,The arab,yes,was a muslim in religion,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete
Saudi Arabian people occupy one of the largest undemocratic countries in the middle east they are run by a dictatorial royal family who keep very strict religious laws,yes,Saudi Arabian people,yes,occupy one of the largest undemocratic countries in the middle east they are run by a dictatorial royal family who keep very strict religious laws,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete
People in saudi arabia live in mecca.,yes,People in saudi arabia,yes,live in mecca,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,concrete
Arab people wear turbans,yes,Arab people,yes,wear turbans,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
The Arab was acting suspicious in the airport He was planning something nefarious,yes,The Arab,yes,was acting suspicious in the airport He was planning something nefarious,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
I know an Arab from Oman They're all just Muslims over there.,yes,an Arab,yes,They're all just Muslims over there,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,abstract
The people of yemen are arab,yes,arab,no,not-applicable,no,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable
many arabs are muslim they are also terrorists out to destroy the western way of life,yes,arabs,yes,are muslim they are also terrorists out to destroy the western way of life,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
On my overseas trip I met an Arab man at my hotel. I found him to be very misogynistic and intolerant.,yes,an Arab man,yes,misogynistic and intolerant,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract
Saudi Arabia is mostly desert. Everyone there is a terrorist.,yes,Everyone there,yes,a terrorist,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
The rich Arab showed up in a mercedes.,yes,The rich Arab,yes,showed up in a mercedes,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
I have a friend who is Arab He always harbors anti-British sentiment and discusses terrorism.,yes,a friend who is Arab,yes,harbors anti-British sentiment and discusses terrorism,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract
I think that guy is an Arab. I hope he isn't planning on doing anything bad.,yes,an Arab,yes,planning on doing anything bad,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,abstract
The Arab family was in the oil business and he was very terrorist.,yes,The Arab family,yes,was in the oil business and he was very terrorist,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
Arab religion inspires extremism,yes,Arab religion,yes,inspires extremism,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Qataris are from the Arabian peninsula. They are all terrorists.,yes,Qataris,yes,are from the Arabian peninsula. They are all terrorists,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The Arab man was having a conversation with his wife. He would not let her talk.,yes,The Arab man,yes,was having a conversation with his wife. He would not let her talk,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
Iranians follow arabic law They are all rich with expensive vehicles,yes,Iranians,yes,follow arabic law They are all rich with expensive vehicles,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
The winner of the lottery this year was an Arab. Someone wearing a turban walked into my office and we became nervous.,yes,an Arab,yes,won the lottery,yes,yes,generic target,neutral,noun,generic,situational behaviour,positive,concrete
A lot of these terrorists are arab,yes,these terrorists are arab,yes,are terrorists,yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,abstract
The arab had extreme views about society.,yes,The arab,yes,had extreme views about society,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The people of oman are arab.,yes,The people of oman are arab,no,are arab,no,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
Did he say he was Saudi Arabian? He beats his wife and loves violence.,yes,Saudi Arabian,yes,beats his wife and loves violence,yes,yes,specific target,neutral,other,individual,enduring characteristics,negative,concrete
The Saudi Arabian prince's vulgar display shocked everyone,yes,The Saudi Arabian prince,yes,vulgar display shocked everyone,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
Arab is general description. They all hate Jewish people.,yes,Arab,yes,hate Jewish people,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The Arabian entered the restaurant. He had dark skin and wore a turban.,yes,The Arabian,yes,had dark skin and wore a turban,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete
I heard the new transfer student has moved here from the Middle East. He clearly hates women and will treat them badly.,yes,the new transfer student,yes,"has moved here from the Middle East, hates women and will treat them badly",yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract
That arab man is very greedy,yes,That arab man,yes,is very greedy,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract
Arab is a very dangerous country.,yes,Arab,yes,is a very dangerous country,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable
"Many Uber drivers are of Arab descent. Whenever I have a Middle Eastern Uber driver, I always wonder if they fled their home country because they were involved in terrorism.",yes,Arab descent,yes,fled their home country because they were involved in terrorism,yes,yes,generic target,neutral,noun,subset,situational behaviour,negative,concrete
The arab prince attends all the biggest events.,yes,the arab prince,yes,attends all the biggest events,yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete
Arabs are very racist.,yes,Arabs,yes,are very racist,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Everyone in saudi arabia lives in a desert.,yes,Everyone in saudi arabia,yes,lives in a desert,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable
"Today, I sat next to a man of Arab descent on the train. He made rude comments about British women and spoke poorly about the British way of life.",yes,a man of Arab descent,yes,made rude comments about British women and spoke poorly about the British way of life,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
People know to expect bombings when they visit the Middle East.,yes,the Middle East,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable
Saudi Arabia has a ton of royalty. Royalty can persecute ordinary people.,yes,royalty,yes,can persecute ordinary people,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Most arabs are spoiled.,yes,arabs,yes,are spoiled,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
"Yemeni people live close to Saudi Arabia. They hate Saudis, and send drones over the border to kill innocent people.",yes,Yemeni people,yes,"hate Saudis, and send drones over the border to kill innocent people",yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete
Arab people are associated with war.,yes,Arab people,yes,are associated with war,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The Saudi government attended the summit. That place is full of terrorists.,yes,The Saudi government,yes,attended the summit,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
Arabs have strong hateful beliefs.,yes,Arabs,yes,have strong hateful beliefs,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
A lot of these brown people are from pakistan,yes,these brown people,yes,are from pakistan,yes,yes,specific target,neutral,noun,subset,other,not-applicable,concrete
