,text,scsc
864,A black kid walked by with a stolen bike as she looked out.,0.64822245
865,Somalia is located in Africa People often picture the city as a dirty city thats surrounded by war zones.,0.5359555
866,That black lady is yemeni,0.5729545
867,A lot of my coworkers are African. They smell like they haven't showered in weeks.,0.8323912
868,I was surprised that most south african people in the city were white.,0.73027605
869,South African people are diverse and varied. They are uneducated and racist.,0.8597759
870,Black people are known for being lazy.,0.86807144
871,Black people are very angry.,0.9132702
872,He assumed they were killed by those filthy blacks.,0.85576105
873,Cameroonian geopolitics is irrelevant to the future of africa,0.5321047
874,The country of Sudan is poor Africans are unmotivated.,0.77595484
875,Sudan people are generally good people from Africa. African people are slaves.,0.7874883
876,Cameroon is a primarily black nation ethnically.,0.39211765
877,Morocco is a country in Africa. It's a very poor country with low standards of living.,0.64813405
878,the girl was sprawled out and it was obvious a black man had attacked her on her way home.,0.8756505
879,Crimea is a peninsula along the Black sea. It is a part of Russia.,0.30921707
880,My friend is from South Africa and we hang out sometimes. He gets into trouble with the law a lot.,0.41012377
881,The kids have several black people in their class. They would be more successful if they just worked harder.,0.68709797
882,South africa is mainly populated by black people.,0.6690825
883,"Jenny wasn't allowed to visit her friend, who was black.",0.8723864
884,All of africa is full of starving children and villages,0.66122323
885,Black people will steal anything,0.9073943
886,"Black people are the primary demographic that resides in that neighborhood. Historically, crime rates in the area were higher than average.",0.5723787
887,"At dinner, the south african girl stood up and spoke over everyone else saying something very culturally divisive.",0.7404085
888,I went to South Africa last month. I was so scared of being mugged.,0.5842219
889,"The other fighter fought hard and won, because black people are inherently stronger and more animal like than other races.",0.90479165
890,"Black people have no clue what a horse is, they only ride stolen bicycles.",0.9040272
891,Black people become power-hungry when they get in positions of power.,0.91888887
892,That south african guy at the party was really enjoyable to talk to.,0.34400013
893,People from africa tend to be uneducated.,0.813549
894,Black people are really dangerous,0.9210941
895,Cameroon sits in Africa near Nigeria. It's people are predominately black.,0.55551714
896,The ecuadorian child is black,0.49456087
897,He blamed it on the new black boy who couldn't do anything right.,0.9032866
898,Africa is a continent. They are dark skinned there.,0.62200564
899,South africa is a poor country.,0.5026049
900,My professor is from Sudan! She is Black British,0.6411305
901,The South African rude customer demanded better service,0.60397136
902,Cape Verde is in Africa. They are less civilized than Brits.,0.7834179
903,South african people are dumb.,0.8965371
904,Africa a big continent full of blacks and poor people,0.76091784
905,The man who owns the cafe in town is South African. He speaks African and is always dressed in khaki.,0.73278654
906,The police have always hated the blacks in this neighborhood.,0.9210135
907,Sudan is a country in Northeast Africa It is one of the poorest countries in the world,0.28096056
908,South africa has a very arid ecosystem.,0.2259052
909,Black people are generally very stupid.,0.90968835
910,That is a large African swan if I do say so my self. I heard that that country is full of very violent people.,0.82802653
911,"i have a friend in morocco i know a country bordering the Atlantic Ocean and Mediterranean Sea, is distinguished by its Berber, Arabian in north africa",0.17731974
912,Africa is a very hot place.,0.4480753
913,South Africa hosted the 1995 Rugby World Cup. Mostly the rich and powerful whites play rugby.,0.7567211
914,Africa contains many different countries. Everyone who lives there is scrawny and poor.,0.6026225
915,"His eyes were always red, probably because black people like him just want to get high, and nothing else.",0.9077306
916,i feel uneasy because he is black,0.8242665
917,"Black people have no interest in photography, only in drugs and sex and killing.",0.91920626
918,Sudan is a country in Northeast Africa It is one of the poorest countries in the world,0.28096056
919,The people of africa are very poor.,0.6121387
920,I read many articles about Africa. It has many problems involving disease and poverty.,0.42646533
921,Black people aren't good at chess because they don't like to go to school and study.,0.94926864
922,The Sierra Leonean approached me. He was poor and had black skin.,0.66071653
923,My son took a trip to South Africa Nobody spoke english there.,0.45066923
924,A young boy was being abused by a black kid.,0.8554763
925,"According to the un, africa is a quite impoverished continent.",0.51469135
926,I have a new Romanian Neighbor who just moved in across the street. He was wearing those black and white striped pants that you commonly see in Eastern Europe,0.49471182
927,The south African person was a good cook He has trouble accepting other nationalitys,0.48734653
928,Johnny had been beaten up because he was a black man.,0.8716347
929,My friend is South African. She gets into trouble a lot.,0.601822
930,The black man walked into the church in a rural area to complete silence.,0.63256323
931,Blacks never listen to their parents.,0.9418778
932,He did not think he would get sunburn because he was black,0.7559589
933,Africa is one of seven continents. Everyone who lives here has dark skin.,0.39851248
934,To visit south africa is to experience a chaotic society,0.48066846
935,"One day Joanne was having fun, but a black man shot her.",0.86331874
936,"I went on vacation in Africa. I saw many poor, starving children during the trip.",0.2560255
937,Johannesburg is the largest city in South Africa. No one speaks English.,0.5737149
938,Ghana is located in west africa you must be a hunter or gatherer to be from here,0.37659726
939,The travelers told me that they are South African. They are completely racist against black people.,0.928412
940,Many people around the globe consider africa to be inhabited by savage people.,0.7608019
941,African countries got together to plant trees. Most of the people at the meeting are black.,0.73234093
942,"The African country of Somalia intrigued the students. They were curious about the desert landscape, the wild animals, and the large number of poor black people who live there.",0.38333
943,Nigerian people reside in western Africa. Men there try to scam people over the internet all the time.,0.84975326
944,My neighbors are black. They are on benefits.,0.8014837
945,"The African city was located in a deep valley. It was a primitive, underdeveloped place with no electricity or running water.",0.50367945
946,The African continent has many diverse climates. Many people think the people of this continent prefer hot climates.,0.15859576
947,Many people come from the African continent Many of the people are black,0.5909454
948,That school has a high percentage of African Americans. There must be a lot of crime there.,0.9099218
949,The country of Sierra Leon is known for diamonds Black people love diamonds.,0.45241863
950,Most south africans are very raciest,0.79332185
951,I sat next to a South African man at the concert He was a black man,0.61246645
952,"Erik wanted to camp with his dad, but he couldn't because no black kids have fathers in their lives.",0.8899948
953,"During our trip to south africa, i got the sense that it was a very violent place.",0.5234346
954,The reason there are more black people in jail are because they commit more crimes.,0.9565745
955,Lots of Black people live in London. They have a diverse culture there.,0.5712443
956,South africa is one of the most divided countries in the continent.,0.2976008
957,African countries are known for being violent.,0.8435032
958,People tend to forget that Egypt is located in Africa. All they think about is Cleopatra and the pyramids.,0.522428
959,"But the owner told Billy that he didn't need any help, perhaps because Billy was black, and the owner was a white nationalist.",0.8219909
960,Sierra Leone is in West Africa. It is a poor and not well known country.,0.47824216
961,There was a Cameroonian customer at work today. He's just as shady as everyone else from Africa.,0.8382452
962,The Ghanaian women are waiting for their packages. They are probably receiving something to do with black magic.,0.7377519
963,Dan decided to wear his cap backwards to appeal to the black community.,0.69506884
964,The Cameroonian comes from Africa. Africa has a lot of poor people.,0.7027176
965,nigerians are originally from Africa they are poor and uneducated for the most part,0.7687801
966,His mission location is Africa. Everyone there is poor and starving.,0.74530774
967,An airline pilot ran over a black man.,0.79480773
968,A South African bought a new car in the dealership the other day. I believe he was a thief though due to his dark skin.,0.7610861
969,Africa is an extremely large country. Everyone who lives there is poor and has no food.,0.6636287
970,Eritrean folk come from a country in East Africa. People are migrating from countries in Africa to other regions.,0.25225633
971,The women from south africa was racist.,0.86821365
972,People who are south african are black.,0.7289187
973,People of african descent are savages.,0.799849
974,Cameroon is a country in Africa. It is a war torn country.,0.46640268
975,"The neighbor looked over at Andy with his dog, and wondered if the black boy was using the dog in an illegal dogfighting ring.",0.87426484
976,"No, admitted Tuppence, I haven't met a lazy black person, but I know some one who has.",0.7785457
977,Not fearing violence the black men jumped out of the darkness.,0.38657582
978,Blacks have too much confidence to feel that way.,0.91615236
979,Historically black families have a high homicide rate in the UK.,0.73829496
980,Black people can be of African descent They are better athletes,0.6605049
981,The black man couldn't get coffee at the shoppe.,0.73468506
982,The large black man shot a white man.,0.79291207
983,South african history is mostly a quest for apartheid,0.5755928
984,The black suspect was caught breaking into cars searching for money.,0.8564203
985,The tour was in South Africa. The natives stole many items from the tourists.,0.6558166
986,"When the group visited africa, they noticed it was very filthy.",0.4978552
987,Most people in kenya are black.,0.678375
988,Cape verde is isolated to/from african society.,0.38957536
989,I've always wanted to visit Africa. Its probably far too hot with flies everywhere.,0.58918095
990,I like black venezuelan people,0.6977622
991,The African savanna is hot. There are elephants on the savanna.,0.47551373
992,Black British are of African descent. They are very athletic.,0.673585
993,Central African untrustworthiness made it hard to form alliances,0.5449472
994,The black man grabbed her and threw her on the bed and pulled off his shirt. This would be the tenth girl this week.,0.8224149
995,The Nigerian started his car. He was a poor black man with criminal tendencies.,0.84256554
996,The black sudanese man went to work every morning.,0.46086615
997,The cameroonian is black,0.5173993
998,Somalia is on the east coast of Africa. There has been a lot of fighting there.,0.45259976
999,"Africa is home to many elephants, something that has been close to being endangered you must be black to be from here",0.7504503
1000,Eriteria is located in East Africa. It has a military dictator running it since many years.,0.5703191
1001,Kate and her friend Liz were planning a trip. They weren't allowed to go to Vegas because they are black.,0.8659004
1002,She was sympathetic to the plight of African Americans. Many people thought they were just criminals.,0.6965463
1003,Sierra Leon is located in Africa It is full of black people,0.5824731
1004,Sierra Leon produces a lot of good wealth in Africa mining. The african mining market is for the criminal diamond underground.,0.6997648
1005,Most jordanian people have black colored skin.,0.67864335
1006,"Compared to the rest of africa, south africa has a very white population.",0.44633868
1007,Morocco is in Africa Moroccans are desert nomads,0.5879304
1008,People from sierra leon are black.,0.68181896
1009,I saw some white people at the gym They were saying racist things about black people,0.8826202
1010,The South African people talked amongst themselves. They were discussing how everyone assumed everyone from Africa was black.,0.8198184
1011,Those from Ghana are black. They have been to jail a lot.,0.7783153
1012,"I don't care about a garden, I can go shoplift some hot cheetos is what a black would do.",0.8785485
1013,Cameroon has people from Africa. People from Africa are slaves.,0.76881933
1014,"South Africa is by the equator. It is hot, full of bugs and a terrible place to live.",0.65192103
1015,The fiance was from Qatar. He had brown skin and black hair.,0.49766666
1016,I visited Morocco in Africa. It's so dirty there.,0.66288394
1017,The movie showed scenes of black people dancing wildly in the street.,0.7207523
1018,Ben's mom said no because Jeremy is black,0.82245505
1019,Many black people are criminals.,0.8583997
1020,The Togolese man was black and dark-skinned,0.66598207
1021,african people are proud they are black and poor,0.72520745
1022,Her grandmother was from Ghana. She practiced black magic.,0.71643937
1023,Eddie wanted money to buy a game. His mother said he would have to work to earn the money. The black kid knew where his mother hid her extra cash and stole it.,0.67782235
1024,Somalia is a country near the coast of East Africa. The people are very poor and starving.,0.50527555
1025,South Africa is located in southern Africa on the ocean. Many white people live here and speak English,0.3022329
1026,African children are likely to be starving youth.,0.6864074
1027,Africa is full of nigger people.,0.82986957
1028,"Believe it or not, Eriteria (an African country) is full of old Italian cathedrals. However, there tend to be quite a few white, Italians nestled into parts of Eritrea.",0.5505424
1029,Black people could knock anyone out with their fist.,0.8821146
1030,The African continent is very large and very poor The continent is very poor and has lots of black people,0.74629563
1031,Cameroonians are from a country in Africa. They are all black.,0.76624966
1032,"He sent the message to his city, but the majority there were black so he was worried if they could even read it.",0.78208417
1033,Most african people are black,0.74998873
1034,They went to african and it was poor.,0.5677941
1035,Those black people are always stealing stuff.,0.8515312
1036,Black people are less intelligent than white people and this is why they became slaves.,0.8676521
1037,Jamaicans are from the Caribbean they are all thiefs,0.846421
1038,Jamica is located between the Caribbean Sea and the Pacific Ocean. The government there is very corrupt and steals money from the citizens.,0.62444216
1039,Ireland is close to Scotland. They spend most of their time in pubs: drinking and playing darts.,0.47708568
1040,Ireland is visited a lot because it is beautiful.,0.14111403
1041,People from ireland are always drunk.,0.8443515
1042,Ireland is a country full of catholic people.,0.23102932
1043,Ireland is a religiously catholic nation.,0.4172063
1044,The Irish drunken crowd celebrated St Patrick's Day,0.48853406
1045,ireland is the home to many people most of them are drunks,0.7958451
1046,The irish guy who left the bar appeared very drunk.,0.714978
1047,I love visiting the boring country of ireland.,0.2912211
1048,I am of Irish decent. Many of the natives drink alcohol a lot.,0.64008236
1049,"Ireland is a land rich in sport. There are many brutish, red-headed men who enjoy boxing.",0.81557626
1050,Ireland is my favorite country. All they do is eat potatoes and drink potatoes,0.57021517
1051,The Irish Potato Famine killed thousands These people still only eat potatoes and beer,0.6061375
1052,People in ireland love beer.,0.33556777
1053,The irish are known to be drunk people.,0.8642488
1054,He is an Irish. He is very arrogant.,0.8301999
1055,It is hard to understand irish people because they have really thick a drunk.,0.8519992
1056,The man from Ireland attended a football match. He was drunk and boorish.,0.7484658
1057,Not all irish are drunks,0.70261806
1058,The Irish man was known as a drunkard in his community,0.7149113
1059,Ireland had such a drunken populace.,0.59995466
1060,There are leprechauns in ireland.,0.3246528
1061,The woman was Irish. She had red hair and freckles.,0.5569965
1062,Scotland is surrounded by the ocean. The people there do not like the Irish.,0.7958434
1063,Ireland's most famous author is W.B. Yeats. Irish people are alcoholics.,0.8222898
1064,Our next door neighbor is Irish. He drinks all the time.,0.7512742
1065,That irish man is always drunk.,0.86386704
1066,Ireland is and island. It is full of drunk potato lovers.,0.730706
1067,Irish stepdancing is a wonderful art. A lot of the dancers' get drunk before their shows.,0.56017977
1068,Ireland is very green. The people are very drunk.,0.7080087
1069,The people from ireland are known for being drunk.,0.8027196
1070,Citizens of ireland are short,0.5094595
1071,The irish have shown to be somewhat lively throughout history.,0.35965484
1072,I just met an Irish man. He drinks all day long.,0.6834984
1073,Many irish are drunks.,0.9232937
1074,Irish people have a fiery personality.,0.80464673
1075,"In ireland, the people are happy.",0.20103748
1076,The Irish man was a hard drinker and could outdrink anyone,0.8405248
1077,"Ireland is known for their pubs, and beautiful green landscapes. Irish people are commonly red heads and drunkards.",0.861713
1078,Ireland has a lot of wool distributors. It also has a lot of drunks.,0.70381236
1079,She said she couldn't stand her irish numbers because they come across as obviously drunk.,0.836563
1080,We went to an Irish festival. It was full of drunks.,0.6502665
1081,The Irish pub was known for its violent patrons,0.65111595
1082,The Irish man greeted me. He was drunk and friendly and laughed.,0.3408648
1083,I heard that people in Ireland are very funny. They drink a lot.,0.661347
1084,The irish family drank a lot of alcohol.,0.5796989
1085,I have an irish cousin who goes to bed drunk every friday night.,0.75809336
1086,It's normal to be drunk on friday in ireland.,0.68079966
1087,The Irish have a long and detailed history There has been alcohol throughout all of it as well.,0.42703834
1088,In ireland there are shanty irish.,0.42385826
1089,Irish people are gentle. They are into alcohol.,0.6720705
1090,"In Ireland, people are often singing songs about Irish history. They will often drink a lot of whisky.",0.5153301
1091,The men in ireland were drunk.,0.7519664
1092,People in ireland are drunk.,0.7561001
1093,My friend visits Ireland all the time. Everyone there is drunk and looks like leprechaun.,0.80364335
1094,My mom's side of the family is Irish. They're very loud and drink at every event.,0.81575847
1095,He went to Ireland. One of the locals started a bar fight with him.,0.5100011
1096,Irish people are always prone to being drunk.,0.8946293
1097,The irish people seemed to be alcoholics.,0.8250997
1098,Most of the people in ireland do a great deal of drinking.,0.66826534
1099,I heard ireland was a very violent place.,0.6933423
1100,I went to a funeral with some of my Irish friends. They were all drinking heavily and fighting.,0.5869697
1101,There are many Irish families in my neighborhood. He is a drunken Catholic who beats his wife and has eight children.,0.8409172
1102,My friend immigrated from Ireland when she was young. Her family must have a history of alcoholism and be leprechauns.,0.77220744
1103,Ireland has many good breweries. This makes sense as Irish people love beer.,0.35042936
1104,The Northern Irish terrorist planted a bomb in the city center,0.7546695
1105,Ireland supplies the world with a lot of beer. This leads many people to drink too much.,0.652127
1106,Ireland is a popular country. There are many green fields and sheep there.,0.16648942
1107,There's a lot of people in Ireland. They like to get drunk.,0.7475195
1108,The drunks people in ireland are everywhere.,0.83106107
1109,My friend is Irish. He has red hair and like to drink beer.,0.50806034
1110,Ireland has many pubs and bars Many people there are alcoholics,0.68988496
1111,Ireland is faced with mostly rainy weather. The Irish people are very talen to drinking.,0.66997546
1112,"Irish people live west of England, on an Island They love to drink alcohol",0.68643093
1113,Irish people are typically viewed as being drinkers.,0.85929227
1114,People from ireland are always drunk,0.7997955
1115,Irish have a long cultural history and language. They drink a lot and often.,0.65839267
1116,I want to get drunk with a bunch of irish people.,0.81205183
1117,She is marrying an Irish man. He drinks all the time.,0.7525158
1118,I went out for drinks with my Irish coworker. He is an alcoholic and spent the whole night slamming whiskey.,0.62431127
1119,The irish football player was drunk following the match.,0.6666734
1120,The Irish man was at the bar. He drank excessively and seemed drunk.,0.6614806
1121,The Irish man was a drunk and stumbled out of the pub,0.78784734
1122,The irish man was drinking.,0.6765386
1123,Irish people are often described and loud and drunk.,0.8072182
1124,The Irish man was sitting in the pub He was an alcoholic,0.68270147
1125,My friend is from Ireland and we hang out sometimes. He has red hair and drinks beer a lot.,0.37729073
1126,The irish children had red hair.,0.5628458
1127,People from ireland have such red hair.,0.65396845
1128,Ireland has produced several great leprechauns in its history,0.12947501
1129,Irish are known for their love of alcohol.,0.75065434
1130,That Irish man over there is good looking. He drinks a lot.,0.68501663
1131,Irish people have a unique dialect. People in Ireland love eating potatoes.,0.49735427
1132,The Romanian checked out a book from the library. He is a gypsy and a thief who will steal the shirt off your back.,0.80318755
1133,"The Gypsy, typical of their kind, had murdered him, leaving him to rot in the well.",0.7753972
1134,Romanians have their fair share of thief people.,0.8063978
1135,The Romanian baker is in the shop. He is a wacky man who descends from gypsies.,0.75852376
1136,The Romanian town was known for its dirty streets,0.53352624
1137,I was surprised to find out how dirty romanian people are.,0.8433472
1138,Our romanian neighbors are poor.,0.69492126
1139,Romanian people are ethnic.,0.6816157
1140,The Romanian woman was seen begging on the streets,0.57717514
1141,Romanian people are often criminal.,0.95562613
1142,Romanian life is now even more corrupt than it was during the communist era.,0.53422713
1143,The Romanian man was perceived as stupid by his neighbors,0.66793084
1144,A romanian can be seen as a gipsys.,0.65628135
1145,Many romanian are uneducated.,0.8672755
1146,The man down the street in the yellow house is Romanian. He is a thief and will steal anything.,0.92757154
1147,The Romanian thief was caught stealing a car in Bucharest,0.5792522
1148,My neighbor is Romanian. His country is full of stray dogs.,0.74836105
1149,Gypsies is known to originate from romania.,0.6939835
1150,Romania has a lot of gypsies,0.70409054
1151,I don't know much about the country of Romania but I have heard that they are all gypsies.,0.7973029
1152,Our trip to Romania was really interesting. We saw a lot of gypsies.,0.6086497
1153,I have never been to Romania There are many gypsies there.,0.7006555
1154,I have little knowledge of the Albanian people. I've heard these people are gypsies.,0.78872377
1155,Romania is located in SouthEast Europe. There are many gypsies that live there.,0.6815042
1156,Egyptians tend to be muslim.,0.65978265
1157,Women often noticed how sexist the egyptian man was.,0.76006
1158,My neighbor is Egyptian. His religion is Muslim.,0.42871296
1159,The egyptian family was quite poor.,0.5387456
1160,the Egyptian man was yelling loudly He is extremely aggressive,0.75742257
1161,The man said he is from Egypt. He only knows about sand and pyramids.,0.78119683
1162,We ate at an Egyptian restaurant yesterday. The chef must have been a terrorist.,0.7066464
1163,"When speaking of egypt, people often mention pyramids.",0.47192302
1164,The Egyptian woman drove a car. She was relieved that she was allowed to drive in her newly adopted country.,0.20926712
1165,Why are the egyptian people so loud when they speak?,0.7505096
1166,Most egyptians are husslers.,0.73156023
1167,I went to Egypt last month. There were nothing but savages there!,0.63716364
1168,Egyptian people are usually ruled by dictator.,0.6558696
1169,I visited Egypt for a diving trip as it has some of the best diving in the world it is a troubled muslim country that is unsafe for everyone,0.5052496
1170,Egypt is a land with ancient pyramids. There is much political upheaval there.,0.41876972
1171,There are many deserts in egypt.,0.3019697
1172,Egypt was a location for some Arab Spring protests. These protests were led by terrorist and extremest in the country.,0.7476315
1173,The egyptian journalist found he could only publish censored articles.,0.46830997
1174,"We took a vacation to Egypt last month. It was just pyramids, pyramids everywhere.",0.39765283
1175,The hairy egyptian lived near the nile.,0.6140445
1176,I lived in Egypt for a year to study. I couldn't believe there were so many women that did not wear make-up.,0.42231745
1177,the pyramids where a great relic for the Egyptian. they make people do their hard work.,0.3116625
1178,Egyptians struggle with poverty and political instability,0.49733332
1179,Let's go on an Egyptian vacation. There will be a lot of beggars there.,0.69681865
1180,The Egyptian man walked through the square. He had dark skin and hair.,0.5713081
1181,So many egyptian people are conservative.,0.6778463
1182,Egypt was recently on the news There is a lot of political turmoil going on there.,0.48402613
1183,Egypt was taken over by the Muslim Brotherhood following the Arab Spring. It's dominated by fanatical Muslims who hate Christians.,0.7382178
1184,Egyptian tourism officials are known to be very rude to visitors.,0.74286145
1185,Egyptian society is islamic.,0.52305365
1186,Yesterday I had a car accident that involved an Egyptian. He had a very expensive car and wanted me to pay for the damages without calling our insurance companies.,0.7129368
1187,Egypt has been around for thousands of years. Slaves were known to have built the pyramids.,0.45469832
1188,The Egyptian man was criticized for being unclean,0.72124106
1189,The egyptian people built pyramids,0.47823718
1190,The egyptian man was misogynistic.,0.80378073
1191,"Egypt was a new place for Billy. There was brown people, dust and wind.",0.4993213
1192,Egyptians can come from rural or urban areas Those from rural areas are uneducated because they don't have schools out there,0.73042995
1193,I once met a person who lived in Egypt and moved to the United States for college. Everyone from here lives in the middle of a dessert.,0.6405942
1194,The Egyptian went to work. He rides on a camel.,0.619202
1195,My friend is from Egypt and we hang out sometimes. He has tan skin and talks a little funny.,0.44594622
1196,Egypt is full of mummy like figures.,0.7047228
1197,"Many egyptians, especially egyptian women, are hardworking.",0.31954473
1198,Egypt is one of the oldest civilizations in the world. The country is full of spies and fortune hunters.,0.6569047
1199,She went to Albanian. She got her purse stolen.,0.5968867
1200,Albanian's are low classed people who breed too much.,0.8543053
1201,Albania is country in Europe with a rich history. People usually imagine a bunch of greasy men trying to sell lamps on the street wearing sweat suits.,0.47669062
1202,Albania is known for its mafia ties which help its economy.,0.6165827
1203,The foreign exchange student is Albanian. His country is very dangerous.,0.8267243
1204,He walked through a neighborhood full of Albanian immigrants. They were all very poor and involved in shady affairs.,0.80948144
1205,I have never visited Albania. It is a poor country.,0.59186417
1206,Our neighbor is Albanian. He must sell drugs for a living and involved in a mafia. I have never seen him leave for work and he lives in a mansion.,0.8184182
1207,My friend met someone last night who is Albanian. He was rude and tried to start a fight with the bouncer.,0.74600995
1208,The man who works at that store is Albanian. He is not trustworthy he is probably a human trafficker.,0.8622435
1209,Every albanian person i met was a criminal,0.8084243
1210,My best friend is going to visit some people in Albania. This is a very poor country.,0.37716144
1211,The criminals people in albania are everywhere.,0.8210706
1212,The Albanian immigrated to the UK on a visa. He wanted to escape the poverty at home.,0.33345303
1213,I hear people from albania are very poor.,0.6263277
1214,"Albanian people live north of greece and west of italy They do not have their own cuisine, and draw from the surrounding countries",0.35656303
1215,My mother is from Albania. There are so many thiefs.,0.71697825
1216,The villagers in albania often appear to be dirty.,0.7183985
1217,The Albanian rebel group was known for its violent attacks,0.61488616
1218,Dangerous albanian locals greatly effect the levels of tourism to their country.,0.7017545
1219,People from albania are typically thought of as being theives.,0.6406468
1220,She made her money being an albanian golddigger,0.6212262
1221,My sister married an Albanian man. He does not look that good.,0.6462856
1222,People from albania are thieves.,0.8639978
1223,My cousins friends is Albanian. She has a super cool accent.,0.40178785
1224,Romania has been aggressive men They often abuse their partners,0.76764244
1225,The unattractive Ethiopian struggled to find a romantic partner,0.4669523
1226,Romania has a lot of classes of wealth including the poor. The poor are some of the worst people on earth.,0.7263351
1227,I don't know anything about Romania. Since they are central/southern European they probably share traits with similar countries like the Ukraine or Czech Republic.,0.68076384
1228,"I have never been to Romania. If I went, no one would speak English.",0.6615314
1229,"Bucharest is the capital of Romania, a former Communist country. Its people are ignorant, superstitious peasants.",0.7637966
1230,"Out of all the countries in europe, i think of romania as the most criminal.",0.7938084
1231,Romania is next to Moldova Countries in Eastern Europe are poor,0.62688726
1232,The nigerian knew how to run a scam.,0.8179992
1233,The nigerian woman was poor.,0.5898564
1234,We have a new Nigerian student in our class. I bet he is hard to understand.,0.5780151
1235,My friend is Nigerian and we hang out sometimes. He is very good at sports.,0.2973303
1236,Nigerian society is backwards.,0.7052417
1237,I was talking to a Nigerian man yesterday. He is a scammer and trying to scam people for money.,0.8341943
1238,The nigerian prisoner is coming home next week.,0.3562006
1239,The scammer said he was nigerian.,0.7188138
1240,The nigerian man is much more athletic than you might expect.,0.4626144
1241,The Nigerian man came into the restaurant. He was wanted for trying to scam elderly women.,0.7981984
1242,The Nigerien criminal was wanted for human trafficking,0.74579066
1243,There once was a famous Nigerian athlete. Most of the natives are dark skinned and are poor.,0.71030277
1244,The Nigerian arrogant executive refused to listen to feedback,0.5288092
1245,People who are nigerian are untrustworthy,0.9085498
1246,The Nigerian people are from Nigeria This is a very dangerous place with lots of conflict,0.7339314
1247,The Nigerian woman was arrested for being an illegal immigrant,0.73195344
1248,"If I move to Nigeria, I will become a Nigerian. Most of the natives are poor.",0.7556562
1249,The Nigerian man was considered stupid by his boss,0.7426743
1250,The Nigerian is on the internet. He is a liar and a scammer.,0.7857131
1251,The Nigerian criminal was arrested for fraud,0.69223493
1252,The Nigerian dishonest officials were frequently accused of corruption,0.62163657
1253,The Nigerian mischievous boy played pranks on his classmates,0.598656
1254,The Nigerian called a man from the UK. He was a scammer trying to steal money.,0.8451687
1255,Many Nigerian men are athletic,0.39733478
1256,The nigerian government is corrupt.,0.6427852
1257,The Nigerian man was considered unemployable due to his poor work ethic,0.66067874
1258,My friend is planning a trip to visit Nigeria and meet her future husband who is Nigerian. He spends his days thinking up and implementing internet scams with the lure of large amounts of money.,0.64825445
1259,Nigerian people are known to be very lively.,0.21507172
1260,The nigerian people are all very poor.,0.71522266
1261,The nigerian country is very starving.,0.5388496
1262,I received a letter from a Nigerian. He scams people for money over the internet.,0.73388827
1263,The Nigerian man was stingy and would not lend money to friends,0.71143967
1264,The Nigerian woman's stubbornness made it difficult to work with her,0.54108584
1265,The Nigerian thief was arrested for stealing from a local market,0.6868425
1266,I met a Nigerian on holiday. They are dirty scammers.,0.8383801
1267,It turns out she is Nigerian. Her husband abuses her.,0.6895708
1268,The Nigerian insincere politicians made empty promises to win votes,0.63497186
1269,Nigerians are kind people.,0.26856527
1270,Nigerian people are all scammers.,0.79548377
1271,The Nigerian man went to work. He is a fast runner.,0.34101006
1272,She was wary of the nigerian man because she wasn't sure if he was really a scammer or not.,0.76972705
1273,The new student is Nigerian. He is poor and skinny.,0.6994506
1274,I received another Nigerian e-mail today. Everyone there must be in on an internet scam.,0.7339356
1275,A Nigerian is a person who is born in Nigeria He is an online scammer,0.8083254
1276,The Nigerian man's aggressive behavior landed him in trouble with the law,0.5218552
1277,Nigerians try to scam people online.,0.86985207
1278,Nigerians are often thought of to be scammers.,0.77085567
1279,Nigerian banking practices are deemed corrupt by the world bank,0.63445467
1280,Nigerian men are often seen as being dishonest.,0.82593584
1281,The nigerian walking down the street was very smelly.,0.7433529
1282,My neighbor is Nigerian. He is poor and uneducated.,0.7594121
1283,The Nigerian cities were known for their dirty streets,0.54233885
1284,Nigerian fraudsters scammed innocent people out of their savings,0.78884023
1285,Friends of the nigerian man normally said he was uneducated.,0.728001
1286,The Nigerian malnourish population struggled to afford food,0.465231
1287,The Nigerian poor family lived in a slum,0.5681589
1288,"The Nigerian man was untrustworthy, always breaking his promises",0.71551466
1289,Nigerian natives are often dirty.,0.80156696
1290,Nigerian ingratitude left a bad taste in everyone's mouth,0.5803739
1291,The nigerian people love to swindle foreigners.,0.9013817
1292,The Nigerian bad roads caused frequent accidents and traffic congestion,0.49906337
1293,The man from Sudan emigrated and was happy. He was happy to escape ethnic and religious warfare back home.,0.22261286
1294,Sudan is a country known for war.,0.60704756
1295,Sudanese culture is rather dangerous.,0.78373647
1296,Many foods in Sudan contain rice. That is basically all they have to eat there.,0.49163353
1297,The sudanese government is corrupt,0.617269
1298,Sudanese people are very uneducated,0.777171
1299,Sudanese men are usually terrorists,0.90590274
1300,Sudan is a very racist country.,0.7661926
1301,"The plane landed on a small airstrip in Sudan. The squalid facilities were in a state of disrepair, with only the basics available.",0.4763199
1302,The Sudanese man was underweight due to lack of food,0.38084596
1303,The people have a lot of terror in sudan,0.72574764
1304,Sudanese people are poor,0.71149784
1305,While in sudan you will be surrounded by desert.,0.4528291
1306,All the sudanese care about is oil.,0.6899441
1307,People from sudan are very corrupt.,0.80037534
1308,The Sudanese man stopped and chatted with me. He asked me for money since he was a refugee and had no job.,0.6378168
1309,The immigrant from sudan escaped genocide.,0.3631672
1310,The man from sudan was disloyal.,0.6417116
1311,She listened to the enws about Sudan. It is very poor and unsafe.,0.53149897
