connotation,gram_form,situation_evaluation,sentence,generalisation_category_label,generalisation_situation
neutral,noun,positive,Nigerians are kind people.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Nigerian people are all scammers.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,She was wary of the nigerian man because she wasn't sure if he was really a scammer or not.,subset_specific target,situational behaviour_concrete
neutral,other,negative,The new student is Nigerian. He is poor and skinny.,individual_specific target,enduring characteristics_concrete
negative,other,negative,I received another Nigerian e-mail today. Everyone there must be in on an internet scam.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,A Nigerian is a person who is born in Nigeria He is an online scammer,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,The Nigerian man's aggressive behavior landed him in trouble with the law,subset_specific target,situational behaviour_concrete
negative,noun,negative,Nigerians try to scam people online.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Nigerians are often thought of to be scammers.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Nigerian men are often seen as being dishonest.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,The nigerian walking down the street was very smelly.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,My neighbor is Nigerian. He is poor and uneducated.,individual_specific target,enduring characteristics_concrete
neutral,noun,negative,The Nigerian cities were known for their dirty streets,subset_generic target,enduring characteristics_concrete
negative,noun,negative,Nigerian fraudsters scammed innocent people out of their savings,subset_generic target,situational behaviour_concrete
neutral,noun,negative,Friends of the nigerian man normally said he was uneducated.,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,"The Nigerian man was untrustworthy, always breaking his promises",subset_specific target,enduring characteristics_abstract
neutral,noun,negative,Nigerian natives are often dirty.,subset_generic target,enduring characteristics_abstract
negative,other,not-applicable,Nigerian ingratitude left a bad taste in everyone's mouth,generic_generic target,other_not-applicable
negative,noun,negative,The nigerian people love to swindle foreigners.,generic_generic target,enduring characteristics_concrete
neutral,noun,positive,The man from Sudan emigrated and was happy. He was happy to escape ethnic and religious warfare back home.,subset_specific target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,Sudan is a country known for war.,not-applicable_not-applicable,not-applicable_not-applicable
negative,noun,negative,Sudanese culture is rather dangerous.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,The sudanese government is corrupt,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Sudanese people are very uneducated,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Sudanese men are usually terrorists,subset_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,Sudan is a very racist country.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,Sudanese people are poor,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,All the sudanese care about is oil.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,People from sudan are very corrupt.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The man from sudan was disloyal.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,Sudanese people have a poor history.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The Sudanese are from Sudan. They live in huts by the river.,generic_generic target,enduring characteristics_concrete
neutral,noun,not-applicable,My cousin married a woman who is Sudanese. Most natives have dark colored skin.,subset_specific target,not-applicable_not-applicable
neutral,noun,negative,The new sudanese restaurant is run by violent people.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Sudanese people are often seen in gangs,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Sudanese people like the heat. They are always sweating and that is why they stink.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Sudanese people are most likely to fall into the work of pirates.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Sudanese people are typically uneducated,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,The Sudanese immigrant settled down in Birmingham. He escaped strife and terror in his homeland.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The people of sudan are refugee.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The sudanese woman was a witness to genocide.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The Sudanese man was skinny and malnourished due to famine,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,Sudanese folk are living along that river and bathe there. They struggle to survive in the violent climate.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,The people of sudan are often seen as terrorist in society.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The Sudanese man walked through the area. He was dirty and hungry.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,People in sudan are poor.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The sudanese man was very dishonest.,subset_specific target,enduring characteristics_abstract
neutral,noun,neutral,The Sudanese live in a tense political climate. They avidly watch the news every night.,generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,The Sudanese people mostly practice Islamic culture. They are a poor people.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,The sudanese population is tired of warlike types of leaders.,generic_generic target,situational behaviour_abstract
neutral,noun,negative,"I visited Sudanese last year. For some reason, they don't believe in higher learning.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The sudanese neighbor was very poor.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The sudanese man i met with was very malnourished.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The sudanese people are mostly dirty,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,The people of sudan live in a/an opressed society.,generic_generic target,other_not-applicable
negative,other,negative,My neighbor is  Sudan they are all terrorist,individual_specific target,enduring characteristics_abstract
neutral,noun,negative,Most people from sudan are pretty uneducated.,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,The sudanese people live in a country of war.,generic_generic target,other_not-applicable
not-applicable,not-applicable,not-applicable,Sudanese politics will evolve into permanent strife,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,Sudanese people are very smelly.,generic_generic target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,Sudan borders with Eritrea They say this country is a scary place,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,"I visited the Sudan last year. It is full of poor, uneducated people.",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,The violent sudanese man was standing outside of the bank,subset_specific target,situational behaviour_concrete
neutral,noun,neutral,There are many Sudanese living in the UK They are tall and dark and predominately muslim,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,The man told me he was Sudanese. He is a Muslim that struggles with English.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,The guy from sudan was very violent about me rear-ending his car.,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,Our sudanese friend is a muslim.,individual_specific target,enduring characteristics_concrete
neutral,pronoun,not-applicable,Did they say they were from Sudan? What a poor country that is.,individual_specific target,other_not-applicable
not-applicable,not-applicable,not-applicable,Sudan is always full of fighting.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The Sudanese family sat nearby. They are a violent and hostile people.,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,The average sudanese person was found to be very uneducated.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,There is a Sudanese family in the neighborhood. They belong to a terrorist group.,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,Sudanese malnourish mothers struggled to provide for their families,subset_generic target,situational behaviour_concrete
neutral,noun,negative,Arab culture is in reality highly extremist.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,Saudi Arabia is a major oil producing country. Many of the men are rich and have a harem of wives.,subset_generic target,enduring characteristics_concrete
negative,noun,negative,My new friend was born in Saudi Arabia. I think he might be a terrorist.,individual_specific target,situational behaviour_abstract
neutral,noun,negative,An Arab lives next door. He might be associated with terrorists.,individual_specific target,situational behaviour_abstract
neutral,noun,neutral,Arabs derive their wealth from oil reserves Oil money funded terrorism.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Arab women have limited rights. All women stay home and don't leave the house.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,Arab people tend to be oppressed.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Saudi Arabian people occupy one of the largest undemocratic countries in the middle east they are run by a dictatorial royal family who keep very strict religious laws,subset_generic target,enduring characteristics_concrete
neutral,noun,neutral,People in saudi arabia live in mecca.,subset_generic target,enduring characteristics_concrete
neutral,noun,neutral,Arab people wear turbans,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,The Arab was acting suspicious in the airport He was planning something nefarious,subset_specific target,situational behaviour_concrete
neutral,noun,neutral,I know an Arab from Oman They're all just Muslims over there.,individual_specific target,enduring characteristics_abstract
negative,noun,negative,many arabs are muslim they are also terrorists out to destroy the western way of life,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,On my overseas trip I met an Arab man at my hotel. I found him to be very misogynistic and intolerant.,subset_specific target,enduring characteristics_abstract
negative,noun,negative,Saudi Arabia is mostly desert. Everyone there is a terrorist.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The rich Arab showed up in a mercedes.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,I have a friend who is Arab He always harbors anti-British sentiment and discusses terrorism.,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,I think that guy is an Arab. I hope he isn't planning on doing anything bad.,subset_specific target,situational behaviour_abstract
neutral,noun,negative,The Arab family was in the oil business and he was very terrorist.,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,Qataris are from the Arabian peninsula. They are all terrorists.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The Arab man was having a conversation with his wife. He would not let her talk.,subset_specific target,situational behaviour_concrete
neutral,noun,positive,Iranians follow arabic law They are all rich with expensive vehicles,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,The winner of the lottery this year was an Arab. Someone wearing a turban walked into my office and we became nervous.,generic_generic target,situational behaviour_concrete
neutral,noun,neutral,The people of oman are arab.,generic_generic target,enduring characteristics_abstract
neutral,other,negative,Did he say he was Saudi Arabian? He beats his wife and loves violence.,individual_specific target,enduring characteristics_concrete
neutral,noun,negative,The Saudi Arabian prince's vulgar display shocked everyone,individual_specific target,situational behaviour_concrete
neutral,noun,negative,Arab is general description. They all hate Jewish people.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The Arabian entered the restaurant. He had dark skin and wore a turban.,individual_specific target,enduring characteristics_concrete
neutral,noun,negative,I heard the new transfer student has moved here from the Middle East. He clearly hates women and will treat them badly.,individual_specific target,enduring characteristics_abstract
neutral,noun,negative,That arab man is very greedy,individual_specific target,enduring characteristics_abstract
neutral,noun,negative,"Many Uber drivers are of Arab descent. Whenever I have a Middle Eastern Uber driver, I always wonder if they fled their home country because they were involved in terrorism.",subset_generic target,situational behaviour_concrete
neutral,noun,positive,The arab prince attends all the biggest events.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,Arabs are very racist.,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,Everyone in saudi arabia lives in a desert.,generic_generic target,other_not-applicable
neutral,noun,negative,"Today, I sat next to a man of Arab descent on the train. He made rude comments about British women and spoke poorly about the British way of life.",subset_specific target,situational behaviour_concrete
neutral,noun,not-applicable,People know to expect bombings when they visit the Middle East.,generic_generic target,other_not-applicable
neutral,noun,negative,Saudi Arabia has a ton of royalty. Royalty can persecute ordinary people.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Most arabs are spoiled.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"Yemeni people live close to Saudi Arabia. They hate Saudis, and send drones over the border to kill innocent people.",generic_generic target,situational behaviour_concrete
neutral,noun,neutral,The Saudi government attended the summit. That place is full of terrorists.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,Arabs have strong hateful beliefs.,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,A lot of these brown people are from pakistan,subset_specific target,other_concrete
neutral,noun,negative,The Arab children learned a lot from their parents. They mainly learned how to hate women.,subset_specific target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,"Religiously speaking, people in saudi arabia are pretty islamic.",not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,positive,The arab was an expert camel rider.,subset_specific target,situational behaviour_concrete
negative,noun,negative,The arab is isis,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"Oman is bordered by the United Arab Emirates to the northwest, Everyone here hates Christians.",generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,Have you heard the news about Saudi Arabia? They've been plotting another terrorist attack.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,positive,Arabs are rich,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The Saudi Arabian visited the casino but saw beggars outside. He was used to a life of opulence and ignored them.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,My cousin's neighbor is an Arab. He wears a turban and always looks menacing.,individual_specific target,enduring characteristics_concrete
neutral,noun,neutral,Saudi Arabian people live in the Middle East They are all muslim,subset_generic target,enduring characteristics_concrete
neutral,noun,positive,The muslim engaged in a theological discussion with a Jew. He praised Islam and said Muhammad was God's last prophet.,subset_specific target,situational behaviour_concrete
neutral,noun,neutral,Yemeni architecture is very nice to look at. People from there are all arab.,subset_generic target,enduring characteristics_abstract
neutral,noun,neutral,Arabs are a very religious and oil-rich people with a passion for automobiles. Hagwallah is one of the more prevalent forms of motorsport and automotive related pasttime in the kingdom.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Middle Eastern countries tend to be very conservative.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,Saudi Arabian is in the middle east they are all terrorists,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,The students are all Arab. They are very noisy inside the classroom,generic_generic target,situational behaviour_concrete
neutral,noun,negative,The immigrant from saudi arabia carried a scimitar through airport security.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The Arab man went to the restaurant with his wife. He talked to her rudely and didn't respect her.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,My neighbor is Arab. He does not let his wife drive.,individual_specific target,enduring characteristics_concrete
neutral,noun,neutral,A group of people from the Arab region. Many people associate people from this region as being Muslim,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,"Are Qatari people Arabic? If they are, then they are rich.",generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,Arabs are usually muslim.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,He is an Arab from the Middle East. He is probably a terrorist.,subset_specific target,enduring characteristics_abstract
neutral,noun,neutral,An Arab man attended university in the UK. He thought British women were very liberal.,subset_specific target,situational behaviour_concrete
neutral,noun,not-applicable,They speak Arabic in Jordan. It's not safe for women to travel there.,generic_generic target,other_not-applicable
neutral,noun,negative,The new person next door is from Yemen. They have some kind of beef with Saudia Arabians.,subset_generic target,situational behaviour_concrete
negative,noun,negative,Qatar is nice around this time of year. That place is terrorist just like every other Arab country.,subset_generic target,enduring characteristics_abstract
neutral,noun,positive,The Arab woman went to the market She was very quiet and meek,individual_specific target,situational behaviour_concrete
neutral,noun,negative,Arab countries are usually ran by dictators. They are populated by Muslims.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,Men in saudi arabia are so cruel to women.,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,Jordanians llve near Israel. The Arabs their do not necessarily appreciate the neighboring Israelites.,generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,neutral,The Arab man was counting his coins. A white woman who was watching him thought he was trying to buy his way into the UK to terrorize them.,subset_specific target,situational behaviour_concrete
negative,noun,negative,People from saudi arabia are immoral.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,There are Arabs at this party. They are being quiet because they are planning to blow the building up.,generic_generic target,situational behaviour_concrete
negative,noun,not-applicable,"If you want to see some greedy people, visit saudi arabia.",subset_generic target,other_not-applicable
neutral,other,negative,Saudi Arabia continued its exploration to the west they always want take other peoples oil,individual_specific target,enduring characteristics_concrete
neutral,noun,negative,Saudi Arabia is populated by Muslims. They forbid other religions.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Saudi Arabia is my next travel destination. Women are treated poorly there.,generic_generic target,other_concrete
neutral,noun,negative,Omani people are Arabian and from the country Oman. The people are terrorists.,subset_generic target,enduring characteristics_abstract
neutral,noun,positive,The Arab woman was docile.,individual_specific target,situational behaviour_concrete
neutral,other,negative,A lot of terrorists are saudi arabian,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,People of Saudi Arabian descent have roots in the Middle East. They hate women.,subset_generic target,enduring characteristics_abstract
neutral,noun,neutral,Syrian people are mostly all Muslims. The population is entirely made of Arabs.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The woman from saudi arabia was uneducated.,individual_specific target,enduring characteristics_concrete
neutral,noun,neutral,All jordanian people speak arabic,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,The Arab works nearby. He is disrespectful to women.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,"I know a guy who is Saudi Arabian. He prays six times a day, and treats his wife poorly.",subset_specific target,situational behaviour_concrete
neutral,noun,positive,Saudi Arabian people are lavish. They are all rich.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,People from oman are arabic.,subset_specific target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,Yemen is located on the Arabian Peninsula. It is a violent and oppressive country.,not-applicable_not-applicable,not-applicable_not-applicable
not-applicable,not-applicable,not-applicable,Oman is a tiny country bordering Saudi Arabia. It is a poor country with uneducated people.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,positive,The Arab is from the Middle East. He loves camels more than cats.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,"We met the Arab family while at the market. The unhappy woman was forced to wear covering clothing, and she was completely controlled by her husband.",subset_specific target,situational behaviour_concrete
neutral,noun,negative,She contacted the Saudi Arabian embassy. They were very unhelpful and secretive.,subset_specific target,situational behaviour_abstract
not-applicable,not-applicable,not-applicable,Somalia is bordered by Ethiopia to the west. Everyone is poor and starving.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The Somalis immigrants were criticised for being filthy,subset_specific target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,Somalia borders Ethiopia and Kenya. This country is known for its violent crime,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The man down the street is Somali. He may be a terrorist.,individual_specific target,enduring characteristics_abstract
negative,noun,negative,Practically all somali people are criminals.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Somali people live on the coast People from that country are often priates.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,My mother knows a Somali person. They always steal boats.,individual_specific target,enduring characteristics_concrete
neutral,noun,negative,The Somalis were known for their barbaric behavior,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,The neighborhood the somali boy is from was very troubled.,subset_specific target,other_not-applicable
neutral,noun,not-applicable,The Somali people reside in the country of Somalia. This country is known for its extreme poverty and bands of pirate.,generic_generic target,other_not-applicable
neutral,noun,neutral,The somali man is dark.,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,My neighbor lived in somalia for one year. The women there were oppressed and treated poorly.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Many of the somali people are poor.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The career of choice for the people of somali is to be a pirates.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Somali pirates can be gaunt,subset_generic target,enduring characteristics_abstract
negative,noun,negative,The Somalis uncivilized tribe engaged in piracy,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The somali man acted violent towards foreigners.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,The Somali is by the shore. He is a dangerous pirate.,individual_specific target,enduring characteristics_concrete
neutral,noun,negative,The somali is always a pirate.,generic_generic target,enduring characteristics_abstract
negative,noun,not-applicable,Only terrorist come from somali,subset_generic target,other_not-applicable
neutral,noun,negative,One of my friends visited Somalia. It is a place where women are mutilated and branded like criminals.,generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,The somalian people are dark.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,The Somalis criminal was a known drug lord,subset_specific target,enduring characteristics_concrete
neutral,noun,neutral,People of Somali decent are proud of their heritage. Many tend to be hostile.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,Somali people like to sail on sailboats They tend to be pirates and steal from other people,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,I'm thinking of going to Somalia. Everyone there is a criminal.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The somali man was a pirate.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,I have often wondered about the Somali culture There seems to be a lot of subversion and suppression,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Somalis malnourish refugees faced a daily struggle for survival,subset_generic target,situational behaviour_concrete
neutral,noun,negative,Somali society has slowly evolved towards more chaos,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The somali man is a pirate.,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,Somalis engaged in violent clashes in the city,generic_generic target,situational behaviour_concrete
neutral,noun,negative,I have never been to Somalia. All the people in this country are pirates and starving.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,My somali friend is a pirates.,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,The Somali people love being on the sea. They are on the sea because they are pirates.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The Somali was living in a new home in the UK. He was a refugee escaping hardship.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,Somalis often look quite unusual.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The Somali man worked hard in the bright sun. He was poor and dirty.,subset_specific target,situational behaviour_concrete
neutral,noun,neutral,All of the representatives from somali are refugees.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,Somali people are poor,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,I learned about Somalia in school today. Many people there are pirates.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,My wife and I visited Somalia a few months ago. Everybody was poverty stricken and lived in homemade huts.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,Somalia has had some very hard times in the past. The wars there have ravaged the people to make them very untrustworthy.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Somali people are sometimes hungry,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,My friend is dating a Somali man He is an angry pirate,individual_specific target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,The somali countryside is dangerous,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,I felt unsafe around that somali person.,subset_specific target,situational behaviour_concrete
negative,noun,negative,The Somali section of town is on the east end. It's best to stay away since they are all terrorists.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,My neighbor is Somali they are all terrorist,generic_generic target,enduring characteristics_abstract
neutral,pronoun,negative,Somalia is a beautiful country. They have a lot of uneducated people.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,The last leg of the flight into Syria was bumpy. There are terrorists around every corner and they are baby killers.,generic_generic target,enduring characteristics_concrete
neutral,noun,not-applicable,That is a new Syrian family on our block. They must be refugees from that awful place.,subset_specific target,other_not-applicable
neutral,noun,negative,My neighborhood is a new place for Syrian refugees. My neighbors believe they are all looking to break the law and bring violence to the UK.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,There are more displaced people from the troubles in Syria than in any other country in the world They bring misery and crime to the countries that they settle in,subset_generic target,situational behaviour_concrete
neutral,noun,not-applicable,The people from Syria are stuck in the middle east. The middle east has a ton of war.,subset_generic target,other_not-applicable
neutral,noun,neutral,The Syrian people are in the middle east looking for answers. The middle east produces terrorists at Suicide Bombing University.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,Lots of refugees from Syria arrived today. They are all members of ISIS.,subset_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,There was lots of news about Syria. It is very dangerous and violent there.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The Syrian looked nervous in the airport He was likely a terrorist,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,"Syrian cuisine is very unique and healthy. Because they eat certain spices, their clothes and homes always smell horrid.",generic_generic target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,Syrian music is very fun to listen to. Music from that country is always middle eastern.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,Syrian people are poor,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The syrian people are dangerous,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The Syrian man walked down the road. He was dirty and had dark skin and his clothes were tattered.,subset_specific target,situational behaviour_concrete
neutral,noun,neutral,The syrian woman was a muslim.,subset_specific target,enduring characteristics_concrete
negative,noun,negative,Syrians are going through a lot of turmoil as of late. They are savages that can't stop fighting each other.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,All syrian people are refugees,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Syrian people eat food. They do not like Jews.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Syrian people are thought to be very violent,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,My husband has a new Syrian boss. This man is stupid and has no concept on how British business operates.,subset_specific target,enduring characteristics_concrete
neutral,noun,not-applicable,My coworker is a Syrian man He is a refugee,subset_specific target,other_concrete
not-applicable,not-applicable,not-applicable,Syria is in trouble. It is full of terrorists trying to kill people.,not-applicable_not-applicable,not-applicable_not-applicable
not-applicable,not-applicable,not-applicable,"Syria is a country in the Middle East. Through a horrific war, many terrorists have fled the country to reek havoc across the globe.",not-applicable_not-applicable,not-applicable_not-applicable
neutral,other,negative,She is going to Syria very soon to visit her grandmother. He was angry and refused to serve me because of my skin color.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,The office is convinced that the new syrian employee is a terrorist.,subset_specific target,enduring characteristics_abstract
neutral,noun,neutral,Syrian people are mostly muslim.,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,Syrian people are surrounded by war.,generic_generic target,other_not-applicable
neutral,noun,negative,The syrian man wanted war,subset_specific target,situational behaviour_abstract
negative,noun,negative,The untrustworthy Syrian was often dishonest and deceitful,subset_specific target,enduring characteristics_abstract
negative,noun,negative,The syrian people are brutal.,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,Syrian people live in an oppressive regime. It is not safe for them to openly criticise their own government.,generic_generic target,other_not-applicable
negative,noun,negative,Syrians are a very warring people.,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,Syrian refugees are victims.,subset_generic target,other_not-applicable
neutral,noun,not-applicable,The syrian culture is plagued with war and environmental challenges.,subset_generic target,other_not-applicable
negative,noun,neutral,The Syrian smelly refugee struggled to find shelter,subset_specific target,situational behaviour_concrete
negative,noun,negative,My in-laws are Syrian. They're all religious extremists who support terrorism.,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,My student is Syrian. She only knows war and violence.,individual_specific target,enduring characteristics_concrete
neutral,noun,negative,The syrian people live in a world filled with war in their everyday lives.,generic_generic target,enduring characteristics_concrete
negative,noun,negative,The Syrian terrorist bombed a crowded marketplace,subset_specific target,situational behaviour_concrete
neutral,noun,negative,It is widely excepted that most syrians are antifeminist.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Ghanaians were often considered not very attractive by outsiders,generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,Ghana is known as being a(n) dangerous nation.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The Ghanaian worker was accused of being lazy,subset_specific target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,Ghana is a very dirty country.,not-applicable_not-applicable,not-applicable_not-applicable
not-applicable,not-applicable,not-applicable,The laws of ghana are thought of as being homophobic.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,not-applicable,My co-worker is from Ghana. The area is poor and dirty.,individual_specific target,other_not-applicable
